id	name	namespace	UPS1_mean	UPS2_mean	UPS1_01	UPS1_02	UPS1_03	UPS1_04	UPS2_01	UPS2_02	UPS2_03	UPS2_04	UPS1_01_n_peptide	UPS1_02_n_peptide	UPS1_03_n_peptide	UPS1_04_n_peptide	UPS2_01_n_peptide	UPS2_02_n_peptide	UPS2_03_n_peptide	UPS2_04_n_peptide	UPS1_01_n_samp_children	UPS1_02_n_samp_children	UPS1_03_n_samp_children	UPS1_04_n_samp_children	UPS2_01_n_samp_children	UPS2_02_n_samp_children	UPS2_03_n_samp_children	UPS2_04_n_samp_children
GO:0000034	adenine deaminase activity	molecular_function	21.45024928254466	22.044695253401468	21.605135559389872	22.253004713816328	21.10106847727675	19.965080530006798	21.331987699864076	22.002510414448697	22.295283566100352	22.34212247605123	1.0	2.0	1.0	1.0	1.0	2.0	2.0	2.0	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000035	acyl binding	molecular_function	29.49706007727041	29.492055364896967	29.40731589857835	29.37145041981997	29.47449366663612	29.71020721060675	29.23860732942486	29.7403153595003	29.296084986920164	29.63002009413976	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000036	acyl carrier activity	molecular_function	29.544232049104593	29.548222306624208	29.520259083291474	29.401495327312205	29.512913609462615	29.7233030103754	29.355405009494767	29.757816359248586	29.37259826673163	29.663731339563633	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000041	transition metal ion transport	biological_process	31.428366476820567	31.468142504803904	31.360186434250487	31.426485084075278	31.449291238132094	31.475001544653004	31.47443395431089	31.54086380355183	31.43459885882468	31.419601174540603	150.0	179.0	152.0	172.0	173.0	158.0	156.0	153.0	7.0	6.0	7.0	7.0	7.0	7.0	7.0	7.0
GO:0000049	tRNA binding	molecular_function	33.56988704272624	33.51713072077113	33.65965369238203	33.5487447454225	33.58489969159606	33.4804501344523	33.54216933738325	33.60113310463665	33.3529307543856	33.55993650530301	272.0	294.0	257.0	269.0	292.0	272.0	266.0	268.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
GO:0000050	urea cycle	biological_process	27.803628128976438	27.69762340343734	28.03624408280416	27.92679032167797	27.588461698310226	27.610109356647055	27.958607743132298	27.65668579334371	27.37584226213186	27.73970662087212	25.0	28.0	19.0	23.0	28.0	22.0	22.0	24.0	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000053	argininosuccinate metabolic process	biological_process	27.78808006762025	27.676343608987157	28.024714206284926	27.907071176326095	27.579418100947212	27.587904852779406	27.936085725847857	27.645819168898296	27.362612851439774	27.703656914782034	21.0	24.0	17.0	20.0	24.0	20.0	20.0	22.0	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000054	ribosomal subunit export from nucleus	biological_process	26.033197110191796	25.646472591065578	26.799921462987097	26.402003482780835	25.108476610801056	24.97589867682186	26.36889531981195	24.650678542171956	26.01758442792252	24.79765737844925	9.0	9.0	9.0	9.0	9.0	8.0	9.0	7.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
GO:0000055	ribosomal large subunit export from nucleus	biological_process	24.171102262280677	23.58460898017792	25.37559318599196	24.72497639804746	20.94476818441683	21.119016009970863	24.51935767161981	21.834024431384464	24.32307311907937	20.559722941709563	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000056	ribosomal small subunit export from nucleus	biological_process	25.56909763939518	25.251480516015285	26.12739544036414	25.860959932808466	25.02564793417795	24.872723792935034	25.9000021915859	24.42983017479004	25.484427022660295	24.719097660739465	7.0	7.0	7.0	7.0	7.0	6.0	7.0	6.0	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000062	fatty-acyl-CoA binding	molecular_function	24.338759065491185	24.058458998692384	24.292887423220044	24.689490853005207	24.26916215975114	24.022561729712038	24.24296734984589	23.845591357776073	23.853471026226075	24.23886653613555	5.0	6.0	5.0	5.0	5.0	5.0	5.0	6.0	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000075	cell cycle checkpoint	biological_process	24.433904385870722	25.416386214238628	NA	23.682283511460966	25.007836834466158	24.30966644979677	26.036344842924155	25.205478298857212	NA	24.677436891375184	NA	3.0	3.0	3.0	3.0	3.0	NA	3.0	NA	2.0	2.0	2.0	2.0	2.0	NA	2.0
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	biological_process	16.740554697550294	16.812321584709117	NA	16.273708586545272	17.587052632798724	15.676616668397667	16.461229538027393	17.094476164700477	NA	NA	NA	1.0	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000086	G2/M transition of mitotic cell cycle	biological_process	20.329002683406355	20.126247230264873	20.934958186197694	19.699300715936594	20.127450441716658	20.27324529655293	20.276684153401817	20.036448443273986	19.837601155016728	20.30482886419876	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000096	sulfur amino acid metabolic process	biological_process	33.178400117169566	33.09494507180222	33.17606698216271	33.14099711827471	33.12470855686675	33.26754655321366	33.043915140028766	33.14840011575399	32.996119287925836	33.18337585405395	396.0	439.0	345.0	422.0	446.0	387.0	415.0	408.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
GO:0000097	sulfur amino acid biosynthetic process	biological_process	32.063245514082695	31.973302633947494	32.05616589710233	32.01624470616701	32.02992473980057	32.147010641901325	31.903394032513702	32.002627947393336	31.896244636078055	32.082700692773464	160.0	174.0	140.0	168.0	175.0	150.0	163.0	163.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
GO:0000098	sulfur amino acid catabolic process	biological_process	24.88510947846519	25.039974315380967	24.8731305862935	24.910044101140542	24.496720739034938	25.180071640444112	25.161927289200843	25.52563246355887	24.622367380768008	24.649546037475634	7.0	9.0	5.0	8.0	9.0	9.0	8.0	8.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
GO:0000099	sulfur amino acid transmembrane transporter activity	molecular_function	26.184059532872283	26.412813681356614	25.769403646162527	26.164131317071053	26.219473320220807	26.492850352639817	25.93279102904498	26.213986644953028	26.722529437723313	26.642169670921945	15.0	15.0	13.0	16.0	15.0	12.0	15.0	13.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
GO:0000100	S-methylmethionine transmembrane transporter activity	molecular_function	18.985021851706254	21.240022481480484	NA	NA	16.244498297085418	19.87283522152497	NA	21.616579946900412	NA	20.729071451321715	NA	NA	1.0	1.0	NA	1.0	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000101	sulfur amino acid transport	biological_process	28.429815623048782	28.66267726852844	28.175923355406084	28.3856808289115	28.292480098830357	28.788550717961265	28.69508162994805	28.358260119265836	28.992800820258466	28.527241068444873	36.0	39.0	34.0	43.0	42.0	36.0	38.0	36.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
GO:0000103	sulfate assimilation	biological_process	29.948849466871483	29.6320469299025	30.232114838318278	30.071596818149402	29.660405759344012	29.756967007187797	29.844382850001185	29.45397970957602	29.526047949531982	29.672434115658827	90.0	95.0	69.0	88.0	94.0	77.0	84.0	80.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
GO:0000104	succinate dehydrogenase activity	molecular_function	32.026053650628725	31.90772522104422	32.06476425618282	32.02768286913109	32.04297344853396	31.966976233996636	32.04346968092388	31.984413592961694	31.767469658928803	31.81751751720703	62.0	64.0	56.0	64.0	64.0	60.0	63.0	62.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
GO:0000105	histidine biosynthetic process	biological_process	30.029279792062695	29.89687085592816	30.600114025957428	30.19989412925585	29.07406136099546	29.83385645941657	29.81829696154099	30.03371009332617	29.992154608702904	29.721007474779963	87.0	94.0	68.0	88.0	92.0	74.0	92.0	83.0	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000107	imidazoleglycerol-phosphate synthase activity	molecular_function	26.40898377317041	26.34496024597766	26.356841623486194	26.298510908221058	25.872906754415485	26.914436546409448	26.47815009324697	26.01246124421634	26.161986932961458	26.641551289423287	15.0	17.0	13.0	18.0	17.0	14.0	18.0	15.0	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000109	nucleotide-excision repair complex	cellular_component	23.494070068585174	19.637027744959145	24.08615902844921	23.51982205161057	24.036825505567577	17.68288669872336	17.479571217480206	19.788508775492552	18.828354841094953	20.70344971680253	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
GO:0000111	nucleotide-excision repair factor 2 complex	cellular_component	23.494070068585174	19.637027744959145	24.08615902844921	23.51982205161057	24.036825505567577	17.68288669872336	17.479571217480206	19.788508775492552	18.828354841094953	20.70344971680253	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000122	negative regulation of transcription by RNA polymerase II	biological_process	30.033685116068916	29.44996320581574	30.014490087598993	30.080113424997975	29.832703572473832	30.184963747844677	29.360073942168732	29.319311777042984	29.587391153102587	29.516285056138955	15.0	15.0	15.0	15.0	13.0	12.0	12.0	11.0	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000123	histone acetyltransferase complex	cellular_component	23.345682363915653	22.66726006214089	24.47554437123962	23.814187827493996	21.885234063634496	19.392609740644144	23.12805271728823	23.155222869613045	22.70987511437374	20.28086735705748	3.0	3.0	1.0	1.0	3.0	2.0	2.0	1.0	1.0	1.0	NA	NA	1.0	NA	NA	NA
GO:0000127	transcription factor TFIIIC complex	cellular_component	NA	20.54146216384624	NA	NA	NA	NA	NA	16.131886941694095	NA	21.507115099391882	NA	NA	NA	NA	NA	1.0	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000139	Golgi membrane	cellular_component	27.17393242945133	25.242702410472848	27.59451742380486	27.1735844873971	27.213137909229854	26.51699496073817	25.701358741900183	25.64654775062162	24.576869287264422	24.670060800344046	5.0	5.0	3.0	4.0	4.0	2.0	3.0	4.0	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000145	exocyst	cellular_component	24.198836275194253	22.686866420123046	24.54512116148192	24.39751322508203	23.361201735447167	24.22954188436087	22.925176504933184	23.35575466827733	22.54556064727293	21.060239173265995	5.0	5.0	3.0	5.0	4.0	6.0	4.0	2.0	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000150	recombinase activity	molecular_function	24.0862704845732	24.456209086238268	24.241153026549775	23.332762129232556	24.57589204452738	23.917228577528512	25.41581384150625	23.691530285836702	24.43490948788207	23.401199086950864	5.0	4.0	4.0	4.0	6.0	4.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
GO:0000151	ubiquitin ligase complex	cellular_component	31.000507650990034	26.602229954334845	30.813330245081282	30.90245129683231	31.35939785932638	30.85641395652393	26.581402585187337	27.081394265463416	26.287359261826147	26.30970826834502	34.0	36.0	32.0	34.0	21.0	19.0	19.0	23.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
GO:0000152	nuclear ubiquitin ligase complex	cellular_component	29.852836609611145	24.801307506758544	29.64184516444559	29.721250603123668	30.292446952367122	29.64692606991335	24.781243426761915	25.34346641314912	24.817332880310627	23.92957795803773	13.0	14.0	13.0	13.0	8.0	7.0	7.0	9.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
GO:0000154	rRNA modification	biological_process	29.6925232879512	29.543007652307185	29.7347136441484	29.9436045041981	29.36055248478082	29.67185343521432	29.695037195911894	29.303125827221557	29.53330835929931	29.6116844221723	149.0	167.0	127.0	154.0	166.0	127.0	155.0	146.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	3.0
GO:0000155	phosphorelay sensor kinase activity	molecular_function	29.523369976815186	29.348727202819717	29.668723556661348	29.609944458810322	29.313060194854042	29.476151941339907	29.44343396436596	29.419488010390385	29.29382049512542	29.22721647005369	102.0	124.0	93.0	117.0	119.0	101.0	104.0	112.0	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000156	phosphorelay response regulator activity	molecular_function	28.715819910761017	28.44741148973007	28.42429319120582	28.625353676093432	28.989578546409465	28.765158552962053	28.64502107096078	28.523770104322903	28.02246146824244	28.523266306583995	14.0	15.0	14.0	15.0	16.0	14.0	14.0	14.0	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000160	phosphorelay signal transduction system	biological_process	31.829402262612707	31.71883653143942	31.810354604602335	31.88670508281986	31.898074351300384	31.71512729809203	31.805211430824237	31.834590912798976	31.497752497454524	31.714268802011862	232.0	270.0	212.0	249.0	268.0	224.0	239.0	236.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
GO:0000162	tryptophan biosynthetic process	biological_process	28.853352006227375	28.681038759436102	28.895799325843264	28.794798445347084	28.860977886745253	28.859993926212955	28.813114257956205	28.674083159928664	28.731521616487168	28.48563601346673	54.0	65.0	49.0	59.0	63.0	51.0	59.0	52.0	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000165	MAPK cascade	biological_process	27.117449890849652	26.222035577483034	26.918099955987447	27.070915732692765	27.336453585571945	27.112924201753174	25.90532542870985	26.323331188358157	26.265405781818274	26.351445955551405	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
GO:0000166	nucleotide binding	molecular_function	38.71174059994499	38.61034317898383	38.781873342259566	38.68249242718444	38.71367913235723	38.666177108503156	38.627536829939665	38.69512603075077	38.540819079497716	38.573122527961964	14139.0	15224.0	12617.0	14593.0	15037.0	13204.0	13940.0	13507.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0
GO:0000175	3'-5'-exoribonuclease activity	molecular_function	27.39991104750515	27.185546146348397	27.461488326777197	27.314616260579935	27.40063222879464	27.418975226646623	27.51872847404081	27.28233509124233	26.589781190426383	27.1986534267023	15.0	18.0	17.0	18.0	19.0	15.0	16.0	14.0	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity	molecular_function	25.449296325246152	24.551086190450114	25.77036078246807	25.658220476150614	25.047429461260826	25.19439402107402	24.832686415728023	24.125668958211588	25.082206108128403	23.801523289870342	8.0	10.0	6.0	8.0	8.0	6.0	7.0	5.0	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000187	activation of MAPK activity	biological_process	21.178233331776884	20.799956644340604	20.05837911871611	20.885793093664823	21.94717837688364	21.2058355645897	19.84948965079336	21.654894413018305	19.65493260983283	21.08881384732591	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000209	protein polyubiquitination	biological_process	29.819619599592517	23.76568104084236	29.51852002550553	29.85559020600389	29.947687105604007	29.917622994710076	23.092546239470096	24.937019536905606	22.13209773691844	23.440801833318698	16.0	16.0	13.0	16.0	7.0	6.0	5.0	7.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
GO:0000210	NAD+ diphosphatase activity	molecular_function	25.090397456241867	25.148783175484247	25.231274643866147	25.135116267130297	24.597434024872666	25.29876307132139	25.43018567982052	24.916721442586518	25.102537578853994	25.097015582132567	10.0	10.0	10.0	10.0	10.0	10.0	10.0	9.0	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000217	DNA secondary structure binding	molecular_function	28.69668921223801	28.7824656039372	29.104931420252285	28.72416769452548	28.0195527880401	28.736946938848337	28.853409268997723	28.83317443199812	28.794177111634706	28.63952606697319	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	cellular_component	24.33206176889727	24.99385250035528	25.260800076604443	24.6200841039762	17.056812116788493	24.12943767376782	24.776937810862904	25.88850214033899	24.494040559426256	24.191061676314625	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000226	microtubule cytoskeleton organization	biological_process	31.1765485803747	25.278705973048254	31.321847015901813	31.034461409298153	31.246924155892142	31.083967558703083	24.671958970641796	24.998144566355197	24.334329180992512	26.27899428099956	25.0	26.0	23.0	25.0	10.0	12.0	9.0	11.0	1.0	2.0	1.0	1.0	1.0	1.0	NA	1.0
GO:0000235	astral microtubule	cellular_component	21.372951277740736	21.391247734363187	21.400948661811526	21.26710122946841	21.96789538459408	20.48593916856419	21.074345481826178	22.041802493404965	21.98192342953934	18.35009324244467	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000244	spliceosomal tri-snRNP complex assembly	biological_process	24.282004129095995	24.037489615271934	25.117906133155984	24.313973492842933	24.089573447723197	22.626789210128624	24.094358889708154	24.894423744487327	22.62821170265963	23.664365379928785	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000245	spliceosomal complex assembly	biological_process	21.8655145931181	22.219484876310915	21.912536342639143	21.84610687420232	NA	21.83671027841154	22.19168782595689	NA	22.21766214443729	22.248542821161468	1.0	1.0	NA	1.0	1.0	NA	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000255	allantoin metabolic process	biological_process	22.79490253091884	22.159408565733617	22.84512251583986	23.286691859099605	22.217635822347475	22.62378913058951	21.912853641479657	22.438649812323952	22.3217816524142	21.880842866992097	3.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
GO:0000256	allantoin catabolic process	biological_process	22.79490253091884	22.159408565733617	22.84512251583986	23.286691859099605	22.217635822347475	22.62378913058951	21.912853641479657	22.438649812323952	22.3217816524142	21.880842866992097	3.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
GO:0000270	peptidoglycan metabolic process	biological_process	31.827570227260832	31.61482969064743	31.909798511408752	31.82539895729833	31.616154155456464	31.93748290572836	31.67398898381936	31.752811590727504	31.607456850373495	31.40205177888931	241.0	278.0	215.0	266.0	273.0	225.0	257.0	249.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
GO:0000271	polysaccharide biosynthetic process	biological_process	32.43462601148782	32.37956674522064	32.51277444665296	32.60827989635494	32.14894643592657	32.42894660151739	32.50598564736937	32.2772946838626	32.29719417984983	32.42550084558622	440.0	485.0	358.0	458.0	484.0	405.0	463.0	452.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
GO:0000272	polysaccharide catabolic process	biological_process	32.75162183153701	32.7438916986661	32.84120260791125	32.80397595445695	32.7552835186092	32.593904220322884	32.72789287937238	32.591926986126936	32.73855554612339	32.900542318358575	305.0	323.0	267.0	296.0	325.0	281.0	293.0	271.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0
GO:0000287	magnesium ion binding	molecular_function	34.88384060304679	34.82140890712831	34.95493736225986	34.83644626907622	34.901142396312935	34.83950696036377	34.8329274666097	34.938548253808506	34.685781938855264	34.81725904054261	925.0	998.0	833.0	971.0	1004.0	889.0	951.0	912.0	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000302	response to reactive oxygen species	biological_process	33.02247222793627	32.949293925734665	33.08745038283148	32.98861529103708	32.970595562873726	33.04031556710924	32.98098290673418	32.926859727286136	33.02980363497898	32.85361266242216	228.0	249.0	225.0	237.0	254.0	225.0	243.0	241.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0
GO:0000303	response to superoxide	biological_process	29.205667230273892	29.286993950280934	29.295512166352076	29.18551319671244	29.12833090479948	29.20827732323181	29.101583964621547	29.330855495489892	29.36028699878362	29.340266604226517	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000305	response to oxygen radical	biological_process	29.292298266921215	29.33923345850928	29.369425762770867	29.245699294711518	29.197835993222583	29.34922446638363	29.16065196538494	29.37793696918409	29.41313122840564	29.391206580242713	18.0	18.0	17.0	17.0	18.0	16.0	18.0	17.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
GO:0000309	nicotinamide-nucleotide adenylyltransferase activity	molecular_function	25.084858979608715	24.900828122319233	25.071833448887762	25.154861639599392	24.433663187499413	25.488145289341336	25.11840624802178	24.85750715910133	24.70831684174938	24.888833350937215	11.0	11.0	10.0	13.0	11.0	10.0	11.0	12.0	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000310	xanthine phosphoribosyltransferase activity	molecular_function	26.25572302598062	26.008719552429966	26.642437262795184	26.057954023261882	26.263848318550426	25.960669156106075	25.974412552511417	26.089313642352124	25.488525015743207	26.352147936861922	5.0	5.0	4.0	5.0	4.0	4.0	5.0	5.0	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000313	organellar ribosome	cellular_component	28.579350322905157	28.511613519715993	28.391302677048998	28.479715005412068	28.78857434948075	28.626011953741134	28.608903511371647	28.540294646077083	28.41231771185583	28.477556917578436	15.0	16.0	15.0	15.0	16.0	15.0	16.0	15.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
GO:0000315	organellar large ribosomal subunit	cellular_component	21.318410792805526	21.614122624584702	21.757588145208842	20.70144099435198	21.692193935415	20.796365360795637	20.567370720583813	22.21433837299433	NA	NA	1.0	1.0	1.0	1.0	1.0	1.0	NA	NA	1.0	1.0	1.0	1.0	1.0	1.0	NA	NA
GO:0000322	storage vacuole	cellular_component	22.894362690672338	20.42679153905972	23.835868513153393	22.39126420296259	22.628108994564116	22.011798732231583	21.152080600534788	19.420967307454912	NA	20.19025853861553	1.0	1.0	1.0	1.0	1.0	1.0	NA	1.0	1.0	1.0	1.0	1.0	1.0	1.0	NA	1.0
GO:0000323	lytic vacuole	cellular_component	23.23223230164602	21.309385480035974	24.18962051412927	23.084592458341177	22.7709270595715	22.011798732231583	22.49177561412143	19.420967307454912	NA	20.19025853861553	2.0	2.0	2.0	1.0	2.0	1.0	NA	1.0	2.0	2.0	2.0	1.0	2.0	1.0	NA	1.0
GO:0000324	fungal-type vacuole	cellular_component	22.894362690672338	20.42679153905972	23.835868513153393	22.39126420296259	22.628108994564116	22.011798732231583	21.152080600534788	19.420967307454912	NA	20.19025853861553	1.0	1.0	1.0	1.0	1.0	1.0	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000329	fungal-type vacuole membrane	cellular_component	23.77330970676607	23.668250018510125	23.955519747680878	23.58301223664643	23.864024337213788	23.659363151973047	23.623090251355215	24.056521952034377	23.19830631340632	NA	1.0	1.0	1.0	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000334	3-hydroxyanthranilate 3,4-dioxygenase activity	molecular_function	23.457261519921218	22.904389819161484	24.043528865383085	23.243144619598475	23.780636312313085	22.08137149969734	22.888737572082682	23.51949829755934	22.057647095138826	22.788915503167562	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000350	generation of catalytic spliceosome for second transesterification step	biological_process	20.856645185998264	20.895738852794207	21.10094917128608	20.338616576248228	21.52593734949081	19.932139172874233	20.575912374638126	21.23944189650384	20.477504859496285	21.13633895069238	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000372	Group I intron splicing	biological_process	21.622299233355776	22.31053294429343	21.533609997215823	22.559119663012638	21.584807541274007	19.074123827467538	22.333782309143018	22.29323097439555	21.646785256966318	22.758840840593894	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA
