id	taxon_name	rank	NS_mean	WS_mean	X737NS	X737WS	X852NS	X852WS	X867NS	X867WS	X737NS_n_peptide	X737WS_n_peptide	X852NS_n_peptide	X852WS_n_peptide	X867NS_n_peptide	X867WS_n_peptide	X737NS_n_samp_children	X737WS_n_samp_children	X852NS_n_samp_children	X852WS_n_samp_children	X867NS_n_samp_children	X867WS_n_samp_children
1224	Proteobacteria	phylum	26.50640772011773	26.405669726384243	25.647561843048845	25.684049762573892	25.572526514273353	26.020798725687253	27.451384780869613	27.108536806240654	18.0	18.0	3.0	4.0	17.0	17.0	2.0	2.0	2.0	2.0	2.0	2.0
1236	Gammaproteobacteria	class	26.23780583305132	25.79943093072366	25.407236090327036	25.603329196724303	24.600305072560907	25.661035363312802	27.31933640482707	26.08461412677527	14.0	14.0	1.0	2.0	14.0	14.0	1.0	1.0	NA	1.0	1.0	1.0
1239	Firmicutes	phylum	28.51238559664615	30.091433318476458	28.16821189186139	29.85860894014845	28.689295147943675	29.90298944379599	28.625794429436656	30.43794314029389	247.0	362.0	325.0	366.0	317.0	354.0	3.0	2.0	3.0	3.0	3.0	2.0
1300	Streptococcaceae	family	26.90209798194029	28.877559216101453	26.51580644139058	28.09296543912465	26.61597814144262	29.146187275219095	27.402697591420452	29.158305234196984	68.0	125.0	97.0	128.0	112.0	125.0	1.0	1.0	1.0	1.0	1.0	1.0
1301	Streptococcus	genus	26.867617254051417	28.85011386863358	26.46624241376839	28.058910483143155	26.560458646377878	29.13539355848514	27.388297546047863	29.11733996727291	67.0	124.0	96.0	127.0	111.0	124.0	2.0	3.0	3.0	3.0	2.0	3.0
1302	Streptococcus gordonii	species	24.68637063674558	27.653507330007763	23.76240043469871	26.151624056996113	24.539475551766007	27.51575299066964	25.336906564014722	28.450914623490764	24.0	43.0	29.0	44.0	44.0	45.0	NA	NA	NA	NA	NA	NA
1318	Streptococcus parasanguinis	species	20.498121886858996	23.63335155911078	NA	23.78917938856044	20.498121886858996	23.448595306473546	NA	23.64218491853402	NA	6.0	6.0	6.0	NA	6.0	NA	NA	NA	NA	NA	NA
1349	Streptococcus uberis	species	21.672555185279965	22.644371951319485	22.419616954411115	21.556516956279523	19.42459912064823	23.925771187841864	21.824552574872936	19.304932067585355	1.0	1.0	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA
1578	Lactobacillus	genus	18.13685216674801	18.113124757004336	NA	17.458316565406072	18.13685216674801	18.136009797827352	NA	18.5448556266406	NA	1.0	1.0	1.0	NA	1.0	NA	NA	NA	NA	NA	NA
2085	Mycoplasmatales	order	15.781895747616405	16.523941386545005	15.351858536659272	16.83326590514349	NA	16.272308187546866	16.11274937871817	16.405101010919722	1.0	1.0	NA	1.0	1.0	1.0	1.0	1.0	NA	1.0	1.0	1.0
2092	Mycoplasmataceae	family	15.781895747616405	16.523941386545005	15.351858536659272	16.83326590514349	NA	16.272308187546866	16.11274937871817	16.405101010919722	1.0	1.0	NA	1.0	1.0	1.0	1.0	1.0	NA	1.0	1.0	1.0
2093	Mycoplasma	genus	15.781895747616405	16.523941386545005	15.351858536659272	16.83326590514349	NA	16.272308187546866	16.11274937871817	16.405101010919722	1.0	1.0	NA	1.0	1.0	1.0	1.0	1.0	NA	1.0	1.0	1.0
2115	Mycoplasma fermentans	species	15.781895747616405	16.523941386545005	15.351858536659272	16.83326590514349	NA	16.272308187546866	16.11274937871817	16.405101010919722	1.0	1.0	NA	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA
7711	Chordata	phylum	18.71423436046836	17.9463483420792	17.822232855425355	17.738850060395933	18.41771660331577	18.769965187049696	19.43400368663769	16.48885357307721	1.0	1.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9443	Primates	order	18.25340809546078	17.029534882865878	NA	NA	15.28062673040159	17.42191145510204	19.158465725973006	16.48885357307721	NA	NA	1.0	1.0	1.0	1.0	NA	NA	1.0	1.0	1.0	1.0
9604	Hominidae	family	18.25340809546078	17.029534882865878	NA	NA	15.28062673040159	17.42191145510204	19.158465725973006	16.48885357307721	NA	NA	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA
9821	Suidae	family	18.144771574261355	17.821582558977926	18.971149193566465	17.88944526015742	NA	18.3281835307563	16.004089354560918	16.908741857038127	1.0	1.0	NA	1.0	1.0	1.0	1.0	1.0	NA	1.0	1.0	1.0
9822	Sus	genus	18.144771574261355	17.821582558977926	18.971149193566465	17.88944526015742	NA	18.3281835307563	16.004089354560918	16.908741857038127	1.0	1.0	NA	1.0	1.0	1.0	1.0	1.0	NA	1.0	1.0	1.0
9823	Sus scrofa	species	18.144771574261355	17.821582558977926	18.971149193566465	17.88944526015742	NA	18.3281835307563	16.004089354560918	16.908741857038127	1.0	1.0	NA	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA
9895	Bovidae	family	17.923414747690877	18.713800430114773	18.473013280268063	18.925292670137882	17.596373714955995	17.91627144275357	17.48735745950673	19.054967603461662	1.0	1.0	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA
28216	Betaproteobacteria	class	23.29428542923752	24.79179906697345	22.374889513201293	21.402137416070087	24.544202571791203	23.841006989845575	19.8675358581728	26.04714152033054	2.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	1.0	1.0
29465	Veillonella	genus	27.146773058307865	28.768830375331422	27.034861383116564	28.980840680293603	27.47904567128595	27.71387087737904	26.852784335968025	29.21284875844312	134.0	167.0	149.0	156.0	126.0	156.0	3.0	2.0	3.0	2.0	2.0	3.0
29466	Veillonella parvula	species	18.832221452467913	23.646622731934283	18.995849054729806	22.846993959159153	18.647632848343047	21.52704466527468	NA	24.781099201499504	3.0	4.0	2.0	4.0	NA	4.0	NA	NA	NA	NA	NA	NA
31969	Mollicutes	class	15.781895747616405	16.523941386545005	15.351858536659272	16.83326590514349	NA	16.272308187546866	16.11274937871817	16.405101010919722	1.0	1.0	NA	1.0	1.0	1.0	1.0	1.0	NA	1.0	1.0	1.0
31977	Veillonellaceae	family	27.152220827102504	28.7705114856878	27.036310986234124	28.98299920989921	27.489977591783774	27.719147141650048	26.854275161379586	29.21284875844312	135.0	169.0	151.0	158.0	128.0	156.0	1.0	1.0	1.0	1.0	1.0	1.0
32066	Fusobacteria	phylum	29.82209279731563	27.008249376262068	30.33683567513306	NA	28.305809119171172	28.005781558798603	30.110953623147	18.815700672724947	155.0	NA	155.0	155.0	155.0	3.0	1.0	NA	1.0	1.0	1.0	1.0
33958	Lactobacillaceae	family	18.13685216674801	18.113124757004336	NA	17.458316565406072	18.13685216674801	18.136009797827352	NA	18.5448556266406	NA	1.0	1.0	1.0	NA	1.0	NA	1.0	1.0	1.0	NA	1.0
39777	Veillonella atypica	species	18.980828198092212	20.736288679638765	18.535920052157458	NA	19.305663733311555	19.53393316788967	18.99924483633616	21.382852119472712	1.0	NA	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA
39778	Veillonella dispar	species	20.06805764601431	21.234364824902784	18.873358040924337	21.41636590750601	18.430484676034965	NA	21.2326675299594	21.026043330551975	4.0	4.0	1.0	NA	4.0	4.0	NA	NA	NA	NA	NA	NA
40674	Mammalia	class	18.71423436046836	17.9463483420792	17.822232855425355	17.738850060395933	18.41771660331577	18.769965187049696	19.43400368663769	16.48885357307721	1.0	1.0	2.0	2.0	2.0	1.0	NA	NA	1.0	1.0	1.0	1.0
46124	Granulicatella adiacens	species	25.44795951209062	24.095117178766355	22.413021529130273	23.06685285859948	26.121087214932714	23.994120320785946	25.808003124552783	24.75258507306872	12.0	25.0	31.0	31.0	33.0	29.0	NA	NA	NA	NA	NA	NA
52972	Polaromonas	genus	23.051723024478814	24.788623282796507	19.871095526652795	21.31855497926345	24.526648062286164	23.837584365812177	19.8675358581728	26.04714152033054	1.0	1.0	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA
80840	Burkholderiales	order	23.051723024478814	24.788623282796507	19.871095526652795	21.31855497926345	24.526648062286164	23.837584365812177	19.8675358581728	26.04714152033054	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
80864	Comamonadaceae	family	23.051723024478814	24.788623282796507	19.871095526652795	21.31855497926345	24.526648062286164	23.837584365812177	19.8675358581728	26.04714152033054	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
91061	Bacilli	class	27.551642894161386	29.12149015475537	26.75039132074837	28.324292134966065	27.64930683354874	29.37025780533754	27.991116519261805	29.42756863931498	94.0	173.0	154.0	186.0	169.0	178.0	1.0	1.0	1.0	1.0	1.0	1.0
117563	Granulicatella	genus	25.55968109425452	24.302204236482424	22.718362151284467	23.347061008882516	26.2329862899161	24.258627457945614	25.899667260217	24.900534302510756	18.0	31.0	41.0	40.0	43.0	38.0	1.0	1.0	1.0	1.0	1.0	1.0
135625	Pasteurellales	order	26.455085154559853	24.240760984631773	24.965005542520593	22.21824492636595	NA	17.341365183225566	27.1723016809798	25.697827115441513	12.0	12.0	NA	1.0	12.0	12.0	1.0	1.0	NA	1.0	1.0	1.0
171549	Bacteroidales	order	19.604617973372562	18.70630907862036	18.312097558963575	NA	18.420179477366947	18.70630907862036	20.710139866200855	NA	1.0	NA	1.0	1.0	1.0	NA	1.0	NA	1.0	1.0	1.0	NA
171551	Porphyromonadaceae	family	19.604617973372562	18.70630907862036	18.312097558963575	NA	18.420179477366947	18.70630907862036	20.710139866200855	NA	1.0	NA	1.0	1.0	1.0	NA	1.0	NA	1.0	1.0	1.0	NA
186801	Clostridia	class	21.03935027535306	18.15522523770288	22.00462859354924	NA	18.69212138039814	18.15522523770288	20.806643559254944	NA	1.0	NA	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA
186826	Lactobacillales	order	27.515198585571607	29.11785831796523	26.715706855135487	28.32187712752904	27.58682211820675	29.36333727974101	27.97415775835332	29.426524865028256	92.0	171.0	151.0	183.0	167.0	176.0	2.0	3.0	3.0	3.0	2.0	3.0
186828	Carnobacteriaceae	family	25.570678569097876	24.31420732680053	22.718362151284467	23.3777161959285	26.240653092429373	24.270853022770307	25.916053891084054	24.9059841272041	18.0	32.0	42.0	41.0	44.0	39.0	1.0	1.0	1.0	1.0	1.0	1.0
200643	Bacteroidia	class	19.604617973372562	18.70630907862036	18.312097558963575	NA	18.420179477366947	18.70630907862036	20.710139866200855	NA	1.0	NA	1.0	1.0	1.0	NA	1.0	NA	1.0	1.0	1.0	NA
203490	Fusobacteriia	class	29.82209279731563	27.008249376262068	30.33683567513306	NA	28.305809119171172	28.005781558798603	30.110953623147	18.815700672724947	155.0	NA	155.0	155.0	155.0	3.0	1.0	NA	1.0	1.0	1.0	1.0
203491	Fusobacteriales	order	29.82209279731563	27.008249376262068	30.33683567513306	NA	28.305809119171172	28.005781558798603	30.110953623147	18.815700672724947	155.0	NA	155.0	155.0	155.0	3.0	1.0	NA	1.0	1.0	1.0	1.0
203492	Fusobacteriaceae	family	29.746708436761228	26.94872825787216	30.24458115243418	NA	28.223648684576954	27.94829922670115	30.05695897027622	16.2331174648144	146.0	NA	146.0	146.0	146.0	2.0	1.0	NA	1.0	1.0	1.0	1.0
206351	Neisseriales	order	21.187327086512457	16.54773618100921	22.095058653016448	17.25112521395041	18.174653340418462	15.119848183191818	NA	NA	1.0	1.0	1.0	1.0	NA	NA	1.0	1.0	1.0	1.0	NA	NA
544448	Tenericutes	phylum	15.781895747616405	16.523941386545005	15.351858536659272	16.83326590514349	NA	16.272308187546866	16.11274937871817	16.405101010919722	1.0	1.0	NA	1.0	1.0	1.0	1.0	1.0	NA	1.0	1.0	1.0
909932	Negativicutes	class	27.15317918508945	28.772621702654167	27.03942425731274	28.98736217373569	27.489977591783774	27.719716847219992	26.854275161379586	29.213582591653335	136.0	170.0	151.0	159.0	128.0	157.0	1.0	1.0	1.0	1.0	1.0	1.0
1843489	Veillonellales	order	27.152220827102504	28.7705114856878	27.036310986234124	28.98299920989921	27.489977591783774	27.719147141650048	26.854275161379586	29.21284875844312	135.0	169.0	151.0	158.0	128.0	156.0	1.0	1.0	1.0	1.0	1.0	1.0
