id	taxon_name	rank	NS_mean	WS_mean	X730NS	X730WS	X733NS	X733WS	X734NS	X734WS	X737NS	X737WS	X760NS	X760WS	X769NS	X769WS	X781NS	X781WS	X795NS	X795WS	X852NS	X852WS	X861NS	X861WS	X866NS	X866WS	X867NS	X867WS	X730NS_n_peptide	X730WS_n_peptide	X733NS_n_peptide	X733WS_n_peptide	X734NS_n_peptide	X734WS_n_peptide	X737NS_n_peptide	X737WS_n_peptide	X760NS_n_peptide	X760WS_n_peptide	X769NS_n_peptide	X769WS_n_peptide	X781NS_n_peptide	X781WS_n_peptide	X795NS_n_peptide	X795WS_n_peptide	X852NS_n_peptide	X852WS_n_peptide	X861NS_n_peptide	X861WS_n_peptide	X866NS_n_peptide	X866WS_n_peptide	X867NS_n_peptide	X867WS_n_peptide	X730NS_n_samp_children	X730WS_n_samp_children	X733NS_n_samp_children	X733WS_n_samp_children	X734NS_n_samp_children	X734WS_n_samp_children	X737NS_n_samp_children	X737WS_n_samp_children	X760NS_n_samp_children	X760WS_n_samp_children	X769NS_n_samp_children	X769WS_n_samp_children	X781NS_n_samp_children	X781WS_n_samp_children	X795NS_n_samp_children	X795WS_n_samp_children	X852NS_n_samp_children	X852WS_n_samp_children	X861NS_n_samp_children	X861WS_n_samp_children	X866NS_n_samp_children	X866WS_n_samp_children	X867NS_n_samp_children	X867WS_n_samp_children
204	Campylobacter showae	species	23.110290977298725	23.398835027458315	NA	NA	NA	18.395451656744182	20.103073174151792	19.075174004428295	21.11594283663908	NA	NA	NA	20.52628398575703	18.454982803808534	25.552377428044604	21.671564692571774	NA	17.31533950022472	13.135335312041365	26.31331648937104	17.6428202415911	18.32569126909376	NA	NA	NA	11.92979371348742	NA	NA	NA	1.0	1.0	1.0	9.0	NA	NA	NA	8.0	1.0	136.0	2.0	NA	1.0	1.0	1.0	1.0	1.0	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
209	Helicobacter	genus	18.02396787736593	18.152904727310368	17.64873479282403	NA	NA	NA	15.697497642313907	NA	16.733498514428398	16.892771043035626	18.583421795643684	17.080673588149427	NA	NA	17.942072813416278	NA	19.893225620129463	14.209122533995268	15.006048224471341	NA	NA	NA	NA	19.953270888063635	16.790860364936066	17.31341736145539	1.0	NA	NA	NA	1.0	NA	1.0	1.0	1.0	1.0	NA	NA	1.0	NA	2.0	1.0	1.0	NA	NA	NA	NA	2.0	2.0	2.0	NA	NA	NA	NA	1.0	NA	1.0	1.0	NA	1.0	NA	NA	NA	NA	NA	1.0	1.0	NA	NA	NA	NA	1.0	NA	1.0
210	Helicobacter pylori	species	15.988223661663302	17.209663988289655	NA	NA	NA	NA	15.697497642313907	NA	16.733498514428398	16.892771043035626	NA	17.080673588149427	NA	NA	NA	NA	NA	14.209122533995268	15.006048224471341	NA	NA	NA	NA	18.268474560083412	NA	17.31341736145539	NA	NA	NA	NA	1.0	NA	1.0	1.0	NA	1.0	NA	NA	NA	NA	NA	1.0	1.0	NA	NA	NA	NA	1.0	NA	2.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
222	Achromobacter	genus	19.566587158883628	21.186630699971115	20.39618563821743	13.843915155269952	NA	17.51656024074378	18.6395078955728	24.297807938753724	19.608383528446705	18.30912405746843	17.077161412943415	NA	19.916355003545277	16.89490446388801	NA	13.420506581270693	NA	18.37276758963491	20.947456348924227	20.13418169039246	20.145171648555756	14.667507267835823	13.19291395776587	20.77824472481615	16.320051066195827	20.659525153885326	1.0	1.0	NA	1.0	1.0	3.0	1.0	1.0	2.0	NA	3.0	2.0	NA	1.0	NA	3.0	3.0	2.0	3.0	1.0	2.0	2.0	1.0	4.0	1.0	1.0	NA	NA	NA	1.0	1.0	1.0	NA	NA	1.0	NA	NA	1.0	NA	1.0	1.0	1.0	1.0	1.0	1.0	NA	1.0	1.0
237	Flavobacterium	genus	17.146335486660828	17.993074241183354	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.146335486660828	17.993074241183354	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA
265	Paracoccus	genus	20.292178804666165	NA	NA	NA	NA	NA	NA	NA	20.76879451846294	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.3034094064613	NA	NA	NA	20.860257080677982	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	1.0	NA	NA	NA
283	Comamonas	genus	18.37908267284289	18.472699121593983	NA	NA	18.24375008414298	NA	17.325423105412856	19.682866225098163	17.950033715529905	18.74374413738236	18.20033299165082	NA	17.03735041157377	NA	20.24942020741144	NA	NA	17.325921971613873	17.037274072578565	NA	15.50626581665809	17.39210881897369	18.864305956102463	NA	NA	17.623793577445607	NA	NA	1.0	NA	1.0	2.0	1.0	3.0	2.0	NA	2.0	NA	3.0	NA	NA	2.0	1.0	NA	1.0	1.0	3.0	NA	NA	2.0	NA	NA	1.0	NA	1.0	NA	1.0	1.0	1.0	NA	1.0	NA	1.0	NA	NA	1.0	1.0	NA	1.0	1.0	1.0	NA	NA	1.0
285	Comamonas testosteroni	species	17.684485427243118	17.402029818657066	NA	NA	18.24375008414298	NA	17.325423105412856	NA	17.950033715529905	17.23727696339686	16.975190541916334	NA	17.03735041157377	NA	18.46638164925892	NA	NA	17.325921971613873	17.037274072578565	NA	15.50626581665809	17.39210881897369	18.4632836461983	NA	NA	17.623793577445607	NA	NA	1.0	NA	1.0	NA	1.0	1.0	1.0	NA	2.0	NA	1.0	NA	NA	2.0	1.0	NA	1.0	1.0	2.0	NA	NA	2.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
286	Pseudomonas	genus	22.845309635280667	20.9412623449661	19.39065353219522	21.257892314732068	23.409000396804046	21.249447306145733	22.855330864461436	17.189270329854693	21.43373289557238	18.94029066571692	21.275558115279196	21.784657329203007	19.42254043551283	17.888724701002314	22.016714341281943	20.869532243635156	18.68524171702215	22.543335287432047	20.234005329853034	18.807506861121883	23.765290496984004	16.805950901945454	25.39397860675149	22.523625447598256	19.404033335324762	14.425011898222731	2.0	4.0	2.0	7.0	11.0	3.0	4.0	6.0	7.0	4.0	4.0	2.0	16.0	8.0	2.0	7.0	5.0	5.0	6.0	3.0	6.0	4.0	5.0	1.0	1.0	1.0	1.0	2.0	3.0	NA	2.0	2.0	2.0	2.0	2.0	NA	3.0	3.0	2.0	3.0	3.0	1.0	2.0	NA	3.0	NA	2.0	1.0
287	Pseudomonas aeruginosa	species	14.096430719307259	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.096430719307259	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
292	Burkholderia cepacia	species	20.462558602412336	22.091602672534346	NA	NA	22.034740237249466	24.048635930984567	NA	21.674795054296037	13.668397327712057	16.63837161588654	NA	NA	NA	21.23944595619749	NA	22.071885764693498	NA	22.021635058497253	14.621854044927206	NA	NA	19.629071897899838	NA	NA	NA	21.515981868953126	NA	NA	1.0	1.0	NA	2.0	1.0	2.0	NA	NA	NA	2.0	NA	3.0	NA	1.0	2.0	NA	NA	1.0	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
293	Brevundimonas diminuta	species	18.720168403662026	19.506164851957426	19.37956116087661	19.55988984345271	17.72813835320036	20.941094490110807	NA	11.659407332346818	NA	NA	NA	19.889980068003705	20.210306124365907	19.59163969160904	14.800046344242295	13.06844533145757	17.329674027358234	18.02133569066396	17.90267593131093	NA	19.692156605784373	20.314935659720252	17.533185056478438	18.113167455793263	18.191039204538615	19.97800998359213	2.0	3.0	1.0	2.0	NA	1.0	NA	NA	NA	3.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	NA	3.0	1.0	1.0	3.0	1.0	4.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
294	Pseudomonas fluorescens	species	22.221085585670217	18.37276947833916	NA	NA	NA	NA	19.187424712605786	NA	NA	NA	17.95899767744988	18.282796358455577	18.811141272625207	NA	11.465954209430027	18.4574593363631	NA	NA	19.01025496579163	NA	13.202833488699053	NA	24.94817209232378	NA	NA	NA	NA	NA	NA	NA	2.0	NA	NA	NA	1.0	1.0	1.0	NA	1.0	2.0	NA	NA	1.0	NA	1.0	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
316	Pseudomonas stutzeri	species	14.153239281979108	15.330428721233767	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.530060713637893	14.153239281979108	15.098667464475938	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
329	Ralstonia pickettii	species	19.11502559876745	18.39794570210713	NA	12.646913477082737	17.740290340867624	20.349868708970522	NA	NA	NA	18.09373000325536	NA	17.465919764037803	12.029638174174504	NA	14.27666059121551	NA	20.51472221359305	19.124301281091135	18.204268206775087	18.397715414140954	13.101862764041293	NA	20.366212202162462	14.953489085031059	20.11923008114905	13.449032942454837	NA	1.0	1.0	1.0	NA	NA	NA	2.0	NA	1.0	1.0	NA	1.0	NA	1.0	1.0	1.0	1.0	1.0	NA	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
356	Rhizobiales	order	24.692255591466527	24.47928415080033	24.213805954712	26.19612910182332	23.852474395772273	20.88389298705434	24.072293206158825	24.6359011866213	23.253772028711925	23.84124611127577	25.211843229277033	23.374657986339038	24.97169469444538	23.732993264497424	25.466853125051237	22.513373244935128	23.333984301104184	22.80206380634942	24.484377672541548	26.428256133544643	25.06992046020705	22.354137707550276	23.963063933116196	23.69000244474017	25.821578844423875	23.678835807279217	18.0	10.0	13.0	10.0	12.0	24.0	14.0	11.0	12.0	15.0	20.0	7.0	21.0	13.0	17.0	17.0	18.0	17.0	16.0	11.0	15.0	10.0	21.0	9.0	5.0	4.0	5.0	4.0	5.0	5.0	4.0	5.0	4.0	5.0	5.0	4.0	4.0	4.0	5.0	5.0	5.0	5.0	3.0	4.0	3.0	4.0	5.0	5.0
357	Agrobacterium	genus	18.858186914735633	17.62670381345913	20.065315560365846	NA	NA	NA	18.237831178932108	NA	17.317673421765004	18.324484462454453	18.23875366121029	17.39240241713882	NA	NA	NA	NA	17.827696933883303	NA	NA	NA	NA	NA	NA	NA	19.49647327746577	16.70502883972831	1.0	NA	NA	NA	1.0	NA	1.0	1.0	1.0	2.0	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	2.0	1.0	NA	NA	NA	NA	1.0	NA	1.0	NA	1.0	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	1.0	NA
358	Agrobacterium tumefaciens	species	18.140272557952834	NA	NA	NA	NA	NA	18.237831178932108	NA	17.317673421765004	NA	18.23875366121029	NA	NA	NA	NA	NA	17.827696933883303	NA	NA	NA	NA	NA	NA	NA	18.71439121598255	NA	NA	NA	NA	NA	1.0	NA	1.0	NA	1.0	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
374	Bradyrhizobium	genus	20.71523377617988	20.360723819595023	10.335010028729487	NA	19.627867730309422	17.553066601901147	19.83036305495258	19.14211853642603	19.277787216100524	NA	NA	18.160633591557062	20.828820282418825	12.069416556937094	20.839617291316127	21.930058232906372	21.59420243920208	21.47938093567623	18.793965005995386	20.676946754908272	21.259690389662932	18.679957924791967	19.098503747614206	20.955797683546322	22.546417991647875	NA	1.0	NA	1.0	1.0	3.0	2.0	4.0	NA	NA	2.0	3.0	1.0	5.0	5.0	4.0	4.0	1.0	5.0	4.0	2.0	4.0	1.0	3.0	NA	1.0	NA	NA	1.0	NA	1.0	1.0	NA	NA	NA	NA	NA	1.0	1.0	1.0	1.0	NA	1.0	1.0	1.0	1.0	NA	1.0	NA
381	Mesorhizobium loti	species	17.167873218330847	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.167873218330847	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
403	Methylococcaceae	family	NA	16.465076819147914	NA	NA	NA	16.465076819147914	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
407	Methylobacterium	genus	13.893045049082524	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.893045049082524	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA
429	Methylobacter	genus	NA	16.465076819147914	NA	NA	NA	16.465076819147914	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
433	Acetobacteraceae	family	NA	17.990213741528127	NA	NA	NA	NA	NA	NA	NA	17.48596340924097	NA	NA	NA	NA	NA	16.352844408036262	NA	NA	NA	18.58950111557756	NA	NA	NA	18.801068298258727	NA	17.484502362143	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	1.0	NA	NA	NA	1.0	NA	NA	NA	1.0	NA	1.0	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	1.0	NA	NA	NA	1.0	NA	NA	NA	1.0	NA	1.0
