id	name	namespace	NS_mean	WS_mean	X737NS	X737WS	X852NS	X852WS	X867NS	X867WS	X737NS_n_peptide	X737WS_n_peptide	X852NS_n_peptide	X852WS_n_peptide	X867NS_n_peptide	X867WS_n_peptide	X737NS_n_samp_children	X737WS_n_samp_children	X852NS_n_samp_children	X852WS_n_samp_children	X867NS_n_samp_children	X867WS_n_samp_children
GO:0000097	sulfur amino acid biosynthetic process	biological_process	20.686783670226728	22.48666542056771	20.494005767477024	22.051978951068442	21.275804550828397	22.694711998437306	19.999112019174067	22.630741033033363	3.0	4.0	5.0	5.0	1.0	3.0	2.0	2.0	2.0	2.0	1.0	1.0
GO:0000104	succinate dehydrogenase activity	molecular_function	23.434066196699362	24.95901654767852	23.764887838682416	25.343418785222294	23.15655435897833	22.99765755263231	23.30946547841598	25.482974589086066	4.0	2.0	4.0	4.0	4.0	3.0	NA	NA	NA	NA	NA	NA
GO:0000154	rRNA modification	biological_process	16.564591003574957	19.426490304933694	NA	19.042296740376003	16.564591003574957	19.367572829431335	NA	19.775638885364387	NA	1.0	1.0	1.0	NA	1.0	NA	1.0	1.0	1.0	NA	1.0
GO:0000155	phosphorelay sensor kinase activity	molecular_function	19.399848274892236	19.965213627267197	19.50723176053641	20.637379581722296	NA	NA	19.283824536611245	18.666670492469475	1.0	1.0	NA	NA	1.0	1.0	NA	NA	NA	NA	NA	NA
GO:0000160	phosphorelay signal transduction system	biological_process	22.25444357868599	20.02757156751318	22.91394486623644	18.00954849688326	21.050060811346622	21.14789012983953	22.234846998274087	19.239590565858716	3.0	1.0	3.0	3.0	3.0	1.0	NA	NA	NA	NA	NA	NA
GO:0000166	nucleotide binding	molecular_function	30.228324905580923	31.115076086797743	30.08251267889012	30.822152636036392	30.285443302657875	31.34910972611233	30.3065849456201	31.126049185816004	463.0	551.0	616.0	684.0	612.0	554.0	5.0	5.0	5.0	5.0	5.0	5.0
GO:0000270	peptidoglycan metabolic process	biological_process	19.939052563587985	19.525787982311684	20.139017925090286	19.129078960860234	20.01702733733818	20.155826063231356	19.60951942424311	18.996309490196115	2.0	1.0	2.0	2.0	1.0	1.0	2.0	1.0	2.0	2.0	1.0	1.0
GO:0000271	polysaccharide biosynthetic process	biological_process	21.14544039216228	22.415279260456106	20.06669729120567	22.400705720799518	21.092862193020007	22.236151894517054	21.789155503563297	22.587528250889623	2.0	6.0	5.0	4.0	5.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0
GO:0000272	polysaccharide catabolic process	biological_process	22.076251665350313	22.986714628565522	21.098524248431413	22.685322217047077	22.01808177189542	23.69308473855343	22.691422409457086	22.142043265791813	2.0	3.0	5.0	5.0	4.0	3.0	2.0	3.0	3.0	3.0	2.0	3.0
GO:0000287	magnesium ion binding	molecular_function	26.7222539559672	28.17394132927803	26.95032064406649	27.826937189783838	26.12237633327141	28.736951257019836	26.947437257624017	27.73257482551542	40.0	40.0	45.0	51.0	52.0	39.0	NA	NA	NA	NA	NA	NA
GO:0000302	response to reactive oxygen species	biological_process	20.236691933480955	18.001328284078863	21.2511595938453	NA	19.6896238113869	18.001328284078863	18.47759517967425	NA	1.0	NA	1.0	1.0	1.0	NA	1.0	NA	1.0	1.0	1.0	NA
GO:0000305	response to oxygen radical	biological_process	20.236691933480955	18.001328284078863	21.2511595938453	NA	19.6896238113869	18.001328284078863	18.47759517967425	NA	1.0	NA	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA
GO:0000313	organellar ribosome	cellular_component	19.97487234145296	21.36137094287567	19.513876765635974	21.457438051736773	20.509525122103117	19.78309200557105	19.69720156348773	22.036069442183326	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
GO:0000428	DNA-directed RNA polymerase complex	cellular_component	23.14355421920464	23.506156263381104	23.30592288901328	23.575681222612754	22.822256697053753	24.22102307198421	23.25528962452273	21.813222044981718	7.0	6.0	6.0	8.0	7.0	5.0	NA	NA	NA	NA	NA	NA
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	biological_process	25.619157432612585	25.295342085930496	26.095338569902147	24.906256216480234	25.23277587026477	25.367106035373915	25.374296887722956	25.540698729996627	4.0	3.0	5.0	5.0	5.0	3.0	NA	NA	NA	NA	NA	NA
GO:0000470	maturation of LSU-rRNA	biological_process	21.904698442096226	19.3867013134739	20.18480295127819	17.393394711390627	22.842150585118343	19.48624857036057	21.548621585414423	20.132928292949387	1.0	1.0	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA
GO:0000721	(R,R)-butanediol dehydrogenase activity	molecular_function	16.868744685869522	17.82534986795769	16.868744685869522	19.090170921847623	NA	15.026412088619884	NA	16.68399270847606	1.0	1.0	NA	1.0	NA	1.0	NA	NA	NA	NA	NA	NA
GO:0000902	cell morphogenesis	biological_process	19.786669344092115	18.74806524781239	19.18138519592699	NA	17.630448018155306	18.74806524781239	20.869586487484725	NA	2.0	NA	2.0	2.0	2.0	NA	NA	NA	NA	NA	NA	NA
GO:0000906	6,7-dimethyl-8-ribityllumazine synthase activity	molecular_function	21.143575014490754	19.756536653499445	21.85096154766928	NA	20.571504265615058	19.756536653499445	20.6176338088998	NA	1.0	NA	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA
GO:0000910	cytokinesis	biological_process	22.429976582326507	24.77317746850335	22.37235013292893	23.890597248585678	22.522492853314223	25.09399072828341	22.390381771981698	25.04647737720254	4.0	3.0	4.0	5.0	4.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0
GO:0000921	septin ring assembly	biological_process	18.730639966399618	21.500196826777138	NA	20.91421406459332	18.471445025505343	21.581974459031528	18.950283643338196	21.851240913561096	NA	3.0	3.0	3.0	2.0	3.0	NA	NA	NA	NA	NA	NA
GO:0001505	regulation of neurotransmitter levels	biological_process	21.61000066918685	23.571999769453114	21.464393254841752	23.312197716135117	21.031548788691673	23.548660904844393	22.12229765319752	23.811818902179414	6.0	6.0	2.0	4.0	6.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0
GO:0001510	RNA methylation	biological_process	17.564591003574957	20.426490304933694	NA	20.042296740376003	17.564591003574957	20.367572829431335	NA	20.775638885364387	NA	2.0	2.0	2.0	NA	2.0	NA	2.0	2.0	2.0	NA	2.0
GO:0001522	pseudouridine synthesis	biological_process	17.842455381020617	19.161216262227054	17.842455381020617	19.88984669034704	NA	19.134679927461082	NA	17.691927035608828	1.0	1.0	NA	1.0	NA	1.0	NA	NA	NA	NA	NA	NA
GO:0001533	cornified envelope	cellular_component	17.758614460279635	17.902884350145015	17.822232855425355	17.738850060395933	18.243634162803843	18.050157494888943	16.909983353188696	NA	1.0	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA
GO:0001539	cilium or flagellum-dependent cell motility	biological_process	20.23256512310691	19.69627528606828	NA	NA	18.974231419234982	20.095646775748392	20.894290559142554	19.142143514582724	NA	NA	1.0	1.0	1.0	1.0	NA	NA	1.0	1.0	1.0	1.0
GO:0001540	amyloid-beta binding	molecular_function	17.923414747690877	18.713800430114773	18.473013280268063	18.925292670137882	17.596373714955995	17.91627144275357	17.48735745950673	19.054967603461662	1.0	1.0	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA
GO:0001666	response to hypoxia	biological_process	24.469526283121077	22.824651204132472	23.15234284866618	21.69760071241246	24.008290514287587	21.63155151477147	25.37435217446472	23.898325461565907	1.0	1.0	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA
GO:0001817	regulation of cytokine production	biological_process	18.09533289986383	20.983982441536995	NA	21.55105965188585	NA	20.60382935815817	18.09533289986383	20.569185100939226	NA	6.0	NA	6.0	6.0	6.0	NA	3.0	NA	3.0	3.0	3.0
GO:0001819	positive regulation of cytokine production	biological_process	16.510370399142676	19.399019940815837	NA	19.966097151164693	NA	19.01886685743701	16.510370399142676	18.984222600218068	NA	2.0	NA	2.0	2.0	2.0	NA	2.0	NA	2.0	2.0	2.0
GO:0001882	nucleoside binding	molecular_function	27.720547369638513	28.320424406941317	27.454934921942975	27.959625674522986	27.852498907033432	28.322261408964746	27.821362936034724	28.60729674854324	82.0	92.0	100.0	108.0	101.0	88.0	2.0	2.0	2.0	2.0	2.0	2.0
GO:0001883	purine nucleoside binding	molecular_function	26.67719337384419	27.28048783928042	26.408726119187964	26.91970873452481	26.82154311423431	27.26131074958459	26.767459470462327	27.584368714742013	36.0	42.0	46.0	49.0	46.0	41.0	1.0	1.0	1.0	1.0	1.0	1.0
GO:0001897	cytolysis by symbiont of host cells	biological_process	19.622667872015242	19.882431802387252	17.597774113005677	20.531033699909127	20.307536446585008	20.088302659581885	19.82018257762037	18.040610479189098	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
GO:0001906	cell killing	biological_process	22.207630372736396	22.467394303108406	20.18273661372683	23.115996200630285	22.892498947306166	22.673265160303043	22.405145078341526	20.625572979910253	6.0	6.0	6.0	6.0	6.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0
GO:0001907	killing by symbiont of host cells	biological_process	19.622667872015242	19.882431802387252	17.597774113005677	20.531033699909127	20.307536446585008	20.088302659581885	19.82018257762037	18.040610479189098	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
GO:0002161	aminoacyl-tRNA editing activity	molecular_function	20.679659895673083	22.55409779723287	19.642174724555385	22.640289806954726	20.424608952146745	22.805916566847795	21.423706003621376	22.13468374622511	3.0	6.0	7.0	8.0	6.0	6.0	NA	NA	NA	NA	NA	NA
GO:0002181	cytoplasmic translation	biological_process	24.354725604373726	25.69928397663519	24.833718997422263	25.497065985910055	23.533922781008098	25.533288486250072	24.41145107103931	26.009011410100182	6.0	5.0	6.0	7.0	5.0	5.0	NA	NA	NA	NA	NA	NA
GO:0002184	cytoplasmic translational termination	biological_process	18.80742494073194	20.23021606366975	NA	18.02461987323257	19.152223429860978	20.719218041637447	18.353445513819484	20.694603381907694	NA	1.0	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA
GO:0002791	regulation of peptide secretion	biological_process	17.510370399142676	20.399019940815837	NA	20.966097151164693	NA	20.01886685743701	17.510370399142676	19.984222600218068	NA	4.0	NA	4.0	4.0	4.0	NA	2.0	NA	2.0	2.0	2.0
GO:0002793	positive regulation of peptide secretion	biological_process	15.510370399142674	18.399019940815837	NA	18.966097151164693	NA	18.01886685743701	15.510370399142674	17.984222600218068	NA	1.0	NA	1.0	1.0	1.0	NA	1.0	NA	1.0	1.0	1.0
GO:0003674	molecular_function	molecular_function	33.41245591415859	34.17445219086917	33.39512291320587	33.92881922873258	33.30953177559745	34.348847721851385	33.52455369983781	34.21438065828974	4140.0	4816.0	5323.0	5898.0	5286.0	4829.0	9.0	9.0	9.0	9.0	9.0	9.0
GO:0003676	nucleic acid binding	molecular_function	28.956889154484045	29.651530667000976	29.05383538155926	29.451085638263233	28.67368136402994	29.730355531062752	29.10579847786357	29.75393420189533	193.0	195.0	223.0	240.0	224.0	195.0	2.0	2.0	2.0	2.0	2.0	2.0
GO:0003677	DNA binding	molecular_function	26.444494059164445	26.793716226825993	26.687907480226873	26.154589427121717	25.51417180918216	27.095320413095504	26.81350671439608	26.964134100590293	46.0	51.0	54.0	62.0	56.0	53.0	2.0	2.0	2.0	2.0	2.0	2.0
GO:0003697	single-stranded DNA binding	molecular_function	23.496463846710977	22.79616113075767	23.49204758012929	22.04173785353136	23.53651234031721	23.10669061117786	23.45980191713909	23.019032359114718	3.0	1.0	3.0	3.0	3.0	1.0	NA	NA	NA	NA	NA	NA
GO:0003700	DNA-binding transcription factor activity	molecular_function	19.680494690604263	21.133773289723	18.261421602909063	20.129037692320665	19.77360463525366	21.24791138898808	20.321467633453032	21.638963325023752	3.0	5.0	3.0	5.0	5.0	6.0	NA	NA	NA	NA	NA	NA
GO:0003723	RNA binding	molecular_function	28.633433286095066	29.384657489374614	28.699578367392334	29.2293468383417	28.459026063488118	29.427102792112116	28.72692978064314	29.485235684190886	135.0	130.0	149.0	159.0	148.0	128.0	6.0	5.0	6.0	6.0	5.0	5.0
GO:0003725	double-stranded RNA binding	molecular_function	17.45596276251176	20.696128105751264	17.825670107425122	21.50982232613269	16.957599197252055	19.437163843739224	NA	20.417631372370693	1.0	1.0	1.0	1.0	NA	1.0	NA	NA	NA	NA	NA	NA
GO:0003729	mRNA binding	molecular_function	20.769260291740178	24.509908851285275	20.706641343907133	25.018928068161458	21.53604928470378	24.76313294970181	19.217091601175404	23.133026127608858	2.0	3.0	2.0	3.0	2.0	3.0	NA	NA	NA	NA	NA	NA
GO:0003735	structural constituent of ribosome	molecular_function	28.44248533988447	29.072690570877622	28.56408303565895	28.729347584023433	28.1955614563026	29.197997358331527	28.53924603136322	29.237538089118022	100.0	95.0	104.0	112.0	105.0	92.0	NA	NA	NA	NA	NA	NA
GO:0003743	translation initiation factor activity	molecular_function	20.845167900415593	23.31728378932528	20.485641277536086	23.297779122124258	20.933780977091565	23.395437455348706	21.055846357781185	23.25502360153008	2.0	3.0	4.0	4.0	4.0	4.0	NA	NA	NA	NA	NA	NA
GO:0003746	translation elongation factor activity	molecular_function	26.880703827399696	27.523884188255337	26.51226212355944	27.346618799398385	27.128154712897157	27.662622271742528	26.934890381733208	27.544909795263116	30.0	31.0	34.0	36.0	33.0	29.0	NA	NA	NA	NA	NA	NA
GO:0003747	translation release factor activity	molecular_function	16.906034198238615	19.237950120059203	15.775396850492804	18.186453727732115	17.131526847335696	19.61867338230524	17.36453133598662	19.51954523782785	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
GO:0003755	peptidyl-prolyl cis-trans isomerase activity	molecular_function	23.64112093560822	24.683582305821854	23.230984830772005	24.44291815066555	23.44500483236154	24.87257842829607	24.100080621864713	24.70317633536541	12.0	12.0	13.0	14.0	12.0	10.0	NA	NA	NA	NA	NA	NA
GO:0003774	motor activity	molecular_function	20.23256512310691	19.69627528606828	NA	NA	18.974231419234982	20.095646775748392	20.894290559142554	19.142143514582724	NA	NA	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA
GO:0003824	catalytic activity	molecular_function	30.86000707840108	31.479569229744044	30.94196980878581	31.279258861547657	30.589691203519497	31.72118268356454	31.01368916212198	31.401496819652756	740.0	888.0	961.0	1066.0	957.0	885.0	10.0	11.0	10.0	11.0	10.0	11.0
GO:0003844	1,4-alpha-glucan branching enzyme activity	molecular_function	19.800785630548276	19.953303655291567	NA	19.844300640967123	19.510790586420196	20.449458668331694	20.042131774934646	19.358908101476462	NA	1.0	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA
GO:0003855	3-dehydroquinate dehydratase activity	molecular_function	18.106871127813427	19.871834018079852	NA	18.775538288181334	18.106871127813427	20.704413846163064	NA	19.459519815532257	NA	1.0	1.0	1.0	NA	1.0	NA	NA	NA	NA	NA	NA
GO:0003856	3-dehydroquinate synthase activity	molecular_function	14.143751272212185	15.346970716738072	NA	14.559648280030197	14.143751272212185	16.223819700376193	NA	14.571557939462949	NA	1.0	1.0	1.0	NA	1.0	NA	NA	NA	NA	NA	NA
GO:0003863	3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity	molecular_function	16.89823272216655	20.076351204233468	NA	19.75930930096118	NA	18.659869269213306	16.89823272216655	20.942397612400647	NA	1.0	NA	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA
GO:0003866	3-phosphoshikimate 1-carboxyvinyltransferase activity	molecular_function	14.942689600676026	17.446734138771177	NA	NA	14.377247125381253	17.619520467314523	15.347867143914106	17.25040185328735	NA	NA	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA
GO:0003872	6-phosphofructokinase activity	molecular_function	20.138921804104914	23.266254978261184	NA	22.917753851747175	20.138921804104914	23.813519900911523	NA	22.857527755304808	NA	2.0	2.0	2.0	NA	2.0	NA	NA	NA	NA	NA	NA
GO:0003883	CTP synthase activity	molecular_function	18.00671722548298	19.915204886013992	18.82178738201362	20.050796567127936	NA	18.787080669984363	15.951523469604378	20.445222226532646	1.0	2.0	NA	2.0	2.0	2.0	NA	NA	NA	NA	NA	NA
GO:0003887	DNA-directed DNA polymerase activity	molecular_function	20.179597584829484	22.406618522024523	19.73309084136577	22.497343538413006	19.9192981877621	22.998943707311806	20.696891264907883	21.180345141623814	4.0	4.0	4.0	5.0	3.0	4.0	NA	NA	NA	NA	NA	NA
GO:0003899	DNA-directed 5'-3' RNA polymerase activity	molecular_function	24.00057810431253	25.363805425080017	23.86735236222541	25.192115945122765	24.098200008803897	25.65895235957187	24.02660088497947	25.187860665800244	19.0	19.0	22.0	25.0	23.0	20.0	NA	NA	NA	NA	NA	NA
GO:0003916	DNA topoisomerase activity	molecular_function	19.478865817991323	22.001511480696248	19.540149037907096	21.84469662958224	19.560193945766777	21.47166752909047	19.324640912169865	22.497582188814757	3.0	4.0	5.0	4.0	4.0	4.0	2.0	1.0	2.0	2.0	2.0	1.0
GO:0003917	DNA topoisomerase type I activity	molecular_function	16.972738119301923	14.068457029256873	18.138389870737125	NA	14.209000032791357	14.068457029256873	16.258229217473524	NA	1.0	NA	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA
GO:0003918	DNA topoisomerase type II (ATP-hydrolyzing) activity	molecular_function	19.199534004689937	21.999542405603453	18.85405107319395	21.84469662958224	19.524410724175286	21.463119379695037	19.141238494912304	22.497582188814757	2.0	4.0	4.0	3.0	3.0	4.0	NA	NA	NA	NA	NA	NA
GO:0003922	GMP synthase (glutamine-hydrolyzing) activity	molecular_function	19.740363997341287	21.579768623040717	18.40632642161634	21.762896912214725	20.183781701402967	21.868448135755365	20.054795466120623	20.942962642114693	2.0	3.0	2.0	2.0	3.0	3.0	NA	NA	NA	NA	NA	NA
GO:0003924	GTPase activity	molecular_function	26.561002441019706	27.193595077425822	26.272302549374025	26.85271890591077	26.74025187572805	27.158849724799172	26.63010773509844	27.497211363372156	32.0	35.0	40.0	42.0	40.0	35.0	NA	NA	NA	NA	NA	NA
GO:0003938	IMP dehydrogenase activity	molecular_function	18.432189191744776	21.117087503215263	NA	20.196480653727733	18.432189191744776	22.13099948016749	NA	19.972547402100453	NA	1.0	1.0	1.0	NA	1.0	NA	NA	NA	NA	NA	NA
GO:0003952	NAD+ synthase (glutamine-hydrolyzing) activity	molecular_function	18.01517008827689	19.536153738133184	NA	19.827815241870635	18.01517008827689	20.15869968959596	NA	17.45521831287724	NA	1.0	1.0	1.0	NA	1.0	NA	NA	NA	NA	NA	NA
GO:0003954	NADH dehydrogenase activity	molecular_function	20.92681264255119	18.845174114532824	NA	16.525180481665497	21.312273735091438	18.353720140960217	20.39924382161661	19.9075886050619	NA	1.0	2.0	2.0	2.0	2.0	NA	NA	NA	NA	NA	NA
GO:0003961	O-acetylhomoserine aminocarboxypropyltransferase activity	molecular_function	18.24148061494309	21.646637758305197	18.334823911797496	21.129916290933487	18.20525620727158	18.76932855252575	18.17951286187841	22.76096888416065	1.0	1.0	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA
GO:0003977	UDP-N-acetylglucosamine diphosphorylase activity	molecular_function	18.129530215042262	16.933081652205747	17.28155086555165	NA	16.445430115959795	16.933081652205747	19.22257698525252	NA	1.0	NA	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA
GO:0003978	UDP-glucose 4-epimerase activity	molecular_function	17.532393199057633	20.184565979347582	NA	19.89690532717111	18.200114638104896	19.793750440433058	16.251139991981464	20.68849705831736	NA	2.0	1.0	2.0	1.0	2.0	NA	NA	NA	NA	NA	NA
GO:0003983	UTP:glucose-1-phosphate uridylyltransferase activity	molecular_function	18.7337420162166	19.477721265435658	NA	17.673568581088137	19.022397060142275	20.254794446099908	18.372509108657933	NA	NA	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA
GO:0003985	acetyl-CoA C-acetyltransferase activity	molecular_function	23.48905687337053	21.29372223460192	24.247032913160503	NA	21.789281780296506	21.29372223460192	23.49057007615001	NA	3.0	NA	3.0	3.0	3.0	NA	NA	NA	NA	NA	NA	NA
GO:0003986	acetyl-CoA hydrolase activity	molecular_function	22.77159438609418	23.784603617818895	22.10983215990431	23.922631913085556	23.678222202961273	22.957232883394052	21.75194372097494	24.202571614180137	2.0	2.0	2.0	2.0	2.0	2.0	NA	NA	NA	NA	NA	NA
GO:0003988	acetyl-CoA C-acyltransferase activity	molecular_function	23.48905687337053	21.29372223460192	24.247032913160503	NA	21.789281780296506	21.29372223460192	23.49057007615001	NA	3.0	NA	3.0	3.0	3.0	NA	1.0	NA	1.0	1.0	1.0	NA
GO:0003989	acetyl-CoA carboxylase activity	molecular_function	22.815766430796387	23.77938009869117	23.442982399095744	24.32965243434263	22.099470955076832	23.45615800039011	22.57579178315465	23.337853723299027	3.0	4.0	5.0	5.0	4.0	3.0	NA	NA	NA	NA	NA	NA
GO:0003993	acid phosphatase activity	molecular_function	23.12332839555275	20.841489553461873	22.437604557058737	18.394389679542144	NA	NA	23.58622479425625	21.702747037906892	1.0	1.0	NA	NA	1.0	1.0	NA	NA	NA	NA	NA	NA
GO:0003995	acyl-CoA dehydrogenase activity	molecular_function	21.770934355993308	19.600014992595018	22.624621593957908	NA	19.532674959310935	19.600014992595018	21.743177734862517	NA	3.0	NA	3.0	3.0	3.0	NA	NA	NA	NA	NA	NA	NA
GO:0004008	copper-exporting ATPase activity	molecular_function	17.58644942476322	19.156489502645254	16.607617158825164	17.791768629513232	18.164286429073936	17.482482895791723	NA	20.357062041449623	1.0	1.0	1.0	1.0	NA	1.0	NA	NA	NA	NA	NA	NA
GO:0004012	phospholipid-translocating ATPase activity	molecular_function	17.926363520204436	20.815335470892265	17.059350535416723	NA	17.588618400007533	20.815335470892265	18.657930899727837	NA	1.0	NA	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA
GO:0004019	adenylosuccinate synthase activity	molecular_function	21.93586684569319	19.89220420981236	22.28872542828817	19.17419477303451	21.02865195232787	20.369430097438894	22.186462207281128	NA	2.0	1.0	2.0	1.0	2.0	NA	NA	NA	NA	NA	NA	NA
GO:0004022	alcohol dehydrogenase (NAD) activity	molecular_function	22.98074390762335	24.34631344335831	22.557224606983098	24.507740466646037	23.35912795119913	24.111633644443984	22.913578198896886	24.391383893870152	6.0	9.0	9.0	10.0	8.0	8.0	NA	NA	NA	NA	NA	NA
GO:0004029	aldehyde dehydrogenase (NAD) activity	molecular_function	20.473203874346698	19.493470183921904	17.466081610442302	NA	19.413304393576826	19.493470183921904	21.733801734485066	NA	1.0	NA	1.0	1.0	1.0	NA	1.0	NA	1.0	1.0	1.0	NA
GO:0004040	amidase activity	molecular_function	17.967293892638327	20.788056447177333	17.641517380064478	21.301260132010363	18.304162406568068	20.55006605571592	17.876673816737068	20.32382754095857	2.0	3.0	3.0	3.0	2.0	3.0	NA	NA	NA	NA	NA	NA
GO:0004049	anthranilate synthase activity	molecular_function	19.72740338996313	18.2055393289214	19.983131050058972	NA	17.49976064828992	18.2055393289214	20.398746517462232	NA	1.0	NA	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA
GO:0004053	arginase activity	molecular_function	20.52689481938492	19.073717926705037	20.216810580154114	NA	19.327086454487134	19.073717926705037	21.340889168545637	NA	2.0	NA	2.0	2.0	2.0	NA	NA	NA	NA	NA	NA	NA
GO:0004055	argininosuccinate synthase activity	molecular_function	18.686084092133438	20.173582662591016	18.999243375149746	13.642979981705478	18.29151863402238	18.70043985165678	18.6815412325792	21.568089435706657	1.0	1.0	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA
GO:0004060	arylamine N-acetyltransferase activity	molecular_function	18.949695747567123	21.26383325995055	18.134575348463922	22.06071200475486	NA	19.686585399330816	19.46736344528182	21.155316355122878	1.0	2.0	NA	2.0	2.0	2.0	NA	NA	NA	NA	NA	NA
GO:0004073	aspartate-semialdehyde dehydrogenase activity	molecular_function	20.197481039195942	22.477014797823895	19.10426912120952	21.924526536755977	20.81222226356769	22.513155892223843	NA	22.847502037703205	1.0	3.0	3.0	3.0	NA	3.0	NA	NA	NA	NA	NA	NA
GO:0004084	branched-chain-amino-acid transaminase activity	molecular_function	22.37288245647066	21.948688409618914	22.61908473423065	21.34838208602848	21.632577193851425	22.478118461392683	22.654202707001538	21.79191211265976	3.0	3.0	6.0	6.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
GO:0004085	butyryl-CoA dehydrogenase activity	molecular_function	21.770934355993308	19.600014992595018	22.624621593957908	NA	19.532674959310935	19.600014992595018	21.743177734862517	NA	3.0	NA	3.0	3.0	3.0	NA	NA	NA	NA	NA	NA	NA
