id	name	namespace	NS_mean	WS_mean	X737NS	X737WS	X852NS	X852WS	X867NS	X867WS	X737NS_n_peptide	X737WS_n_peptide	X852NS_n_peptide	X852WS_n_peptide	X867NS_n_peptide	X867WS_n_peptide	X737NS_n_samp_children	X737WS_n_samp_children	X852NS_n_samp_children	X852WS_n_samp_children	X867NS_n_samp_children	X867WS_n_samp_children	log2fc_NS_over_WS	p	corrected_p
GO:0003674	molecular_function	molecular_function	33.41245591415859	34.174452190869175	33.395122913205874	33.92881922873258	33.30953177559745	34.348847721851385	33.52455369983781	34.21438065828974	4140.0	4816.0	5323.0	5898.0	5286.0	4829.0	9.0	9.0	9.0	9.0	9.0	9.0	-0.7619962767105832	0.005552052342169233	0.027472479976469594
GO:0003676	nucleic acid binding	molecular_function	28.956889154484053	29.651530667000976	29.053835381559267	29.451085638263233	28.673681364029946	29.730355531062752	29.10579847786357	29.753934201895326	193.0	195.0	223.0	240.0	224.0	195.0	2.0	2.0	2.0	2.0	2.0	2.0	-0.6946415125169239	0.01384503985561647	0.04463116827885148
GO:0003677	DNA binding	molecular_function	26.444494059164445	26.793716226826	26.68790748022688	26.15458942712172	25.514171809182162	27.095320413095504	26.813506714396077	26.96413410059029	46.0	51.0	54.0	62.0	56.0	53.0	2.0	2.0	2.0	2.0	2.0	2.0	-0.349222167661555	0.47535005318509505	0.5779454250240658
GO:0003700	DNA-binding transcription factor activity	molecular_function	19.680494690604263	21.133773289723	18.261421602909067	20.129037692320665	19.773604635253662	21.24791138898808	20.32146763345303	21.63896332502376	3.0	5.0	3.0	5.0	5.0	6.0	NA	NA	NA	NA	NA	NA	-1.453278599118736	0.11195055455316742	0.18588016605054214
GO:0003723	RNA binding	molecular_function	28.633433286095066	29.384657489374607	28.69957836739233	29.229346838341694	28.45902606348812	29.427102792112127	28.72692978064314	29.48523568419089	135.0	130.0	149.0	159.0	148.0	128.0	6.0	5.0	6.0	6.0	5.0	5.0	-0.7512242032795413	0.0028322815669556385	0.022983633806058907
GO:0003735	structural constituent of ribosome	molecular_function	28.442485339884467	29.072690570877622	28.56408303565895	28.729347584023433	28.1955614563026	29.197997358331534	28.53924603136322	29.237538089118022	100.0	95.0	104.0	112.0	105.0	92.0	NA	NA	NA	NA	NA	NA	-0.6302052309931554	0.036924768340461364	0.07843330102663518
GO:0003743	translation initiation factor activity	molecular_function	20.845167900415603	23.31728378932528	20.485641277536086	23.297779122124254	20.93378097709157	23.395437455348702	21.055846357781185	23.25502360153008	2.0	3.0	4.0	4.0	4.0	4.0	NA	NA	NA	NA	NA	NA	-2.472115888909677	0.00015210471389366252	0.022983633806058907
GO:0003746	translation elongation factor activity	molecular_function	26.880703827399696	27.52388418825533	26.51226212355944	27.34661879939839	27.128154712897164	27.66262227174253	26.93489038173321	27.54490979526312	30.0	31.0	34.0	36.0	33.0	29.0	NA	NA	NA	NA	NA	NA	-0.6431803608556343	0.03182262286656784	0.0697606252163907
GO:0003755	peptidyl-prolyl cis-trans isomerase activity	molecular_function	23.64112093560822	24.683582305821854	23.230984830772005	24.44291815066555	23.44500483236154	24.87257842829607	24.10008062186472	24.70317633536541	12.0	12.0	13.0	14.0	12.0	10.0	NA	NA	NA	NA	NA	NA	-1.0424613702136334	0.020293056298131107	0.053421037092516076
GO:0003824	catalytic activity	molecular_function	30.86000707840108	31.479569229744055	30.94196980878581	31.279258861547657	30.589691203519497	31.72118268356454	31.01368916212198	31.401496819652767	740.0	888.0	961.0	1066.0	957.0	885.0	10.0	11.0	10.0	11.0	10.0	11.0	-0.6195621513429757	0.02908877165205147	0.06636549384319891
GO:0003887	DNA-directed DNA polymerase activity	molecular_function	20.179597584829484	22.406618522024523	19.73309084136577	22.49734353841301	19.919298187762106	22.998943707311806	20.696891264907887	21.18034514162381	4.0	4.0	4.0	5.0	3.0	4.0	NA	NA	NA	NA	NA	NA	-2.2270209371950394	0.026877636195336112	0.06367932267818095
GO:0003899	DNA-directed 5'-3' RNA polymerase activity	molecular_function	24.00057810431253	25.363805425080013	23.867352362225407	25.192115945122765	24.098200008803897	25.65895235957187	24.026600884979462	25.18786066580025	19.0	19.0	22.0	25.0	23.0	20.0	NA	NA	NA	NA	NA	NA	-1.363227320767482	0.001383002322219857	0.022983633806058907
GO:0003918	DNA topoisomerase type II (ATP-hydrolyzing) activity	molecular_function	19.199534004689934	21.999542405603453	18.854051073193947	21.844696629582238	19.52441072417529	21.463119379695037	19.141238494912304	22.497582188814764	2.0	4.0	4.0	3.0	3.0	4.0	NA	NA	NA	NA	NA	NA	-2.8000084009135193	0.0015366660008957278	0.022983633806058907
GO:0003924	GTPase activity	molecular_function	26.561002441019703	27.193595077425822	26.272302549374018	26.85271890591077	26.74025187572805	27.158849724799172	26.63010773509844	27.49721136337216	32.0	35.0	40.0	42.0	40.0	35.0	NA	NA	NA	NA	NA	NA	-0.6325926364061196	0.056260791791506684	0.10729612304510253
GO:0003989	acetyl-CoA carboxylase activity	molecular_function	22.81576643079639	23.779380098691174	23.442982399095744	24.329652434342627	22.099470955076832	23.45615800039011	22.57579178315465	23.33785372329903	3.0	4.0	5.0	5.0	4.0	3.0	NA	NA	NA	NA	NA	NA	-0.9636136678947835	0.11694682383577618	0.19210464928756835
GO:0004022	alcohol dehydrogenase (NAD) activity	molecular_function	22.980743907623356	24.34631344335831	22.55722460698309	24.507740466646037	23.35912795119913	24.111633644443984	22.91357819889689	24.39138389387015	6.0	9.0	9.0	10.0	8.0	8.0	NA	NA	NA	NA	NA	NA	-1.3655695357349522	0.005850074419250403	0.027472479976469594
GO:0004084	branched-chain-amino-acid transaminase activity	molecular_function	22.372882456470666	21.94868840961891	22.619084734230647	21.34838208602848	21.63257719385143	22.478118461392683	22.654202707001534	21.79191211265976	3.0	3.0	6.0	6.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	0.4241940468517562	0.4120932066502385	0.5191194586841451
GO:0004175	endopeptidase activity	molecular_function	20.09245208362797	21.76692463011415	19.082291428545144	21.24477394224029	20.219675853273817	22.231503014798072	20.58949630905792	21.652503630309248	2.0	5.0	3.0	6.0	5.0	6.0	2.0	2.0	2.0	3.0	3.0	3.0	-1.6744725464861823	0.031222205835371494	0.06918301724672245
GO:0004177	aminopeptidase activity	molecular_function	21.608119790566093	23.543611298057453	21.20211100197821	23.018814648490395	21.711923307722287	23.936982164448967	21.83547741362077	23.53127298713697	6.0	8.0	11.0	11.0	8.0	11.0	2.0	1.0	2.0	2.0	2.0	2.0	-1.93549150749136	0.004351394936280221	0.025178911490942507
GO:0004312	fatty acid synthase activity	molecular_function	23.158059411456648	24.533264585187588	23.266428154249567	24.881652364279947	22.509891640031306	24.489339795546304	23.51859357860397	24.13134470941947	7.0	7.0	8.0	8.0	8.0	7.0	4.0	4.0	4.0	4.0	4.0	4.0	-1.37520517373094	0.0196996106994162	0.0527606964819147
GO:0004315	3-oxoacyl-[acyl-carrier-protein] synthase activity	molecular_function	22.224812139160715	23.66739242425607	21.755433723133315	24.097824507958787	21.151018964408266	23.690133128290267	23.074936241260254	23.015568922140353	3.0	3.0	3.0	3.0	4.0	3.0	NA	NA	NA	NA	NA	NA	-1.4425802850953566	0.06867785212368145	0.1233398160588565
GO:0004332	fructose-bisphosphate aldolase activity	molecular_function	22.69753340394348	25.9173810615328	23.847113539908186	26.560948383960923	20.40572128928	25.70880808103633	21.904896422177163	25.11252711267223	3.0	3.0	3.0	3.0	3.0	3.0	NA	NA	NA	NA	NA	NA	-3.2198476575893196	0.02580671611422322	0.06308308383476786
GO:0004333	fumarate hydratase activity	molecular_function	24.133209834610852	25.41176595041739	19.99291034447609	25.415052583435234	24.653655662049808	24.13530236381675	24.726700704573048	26.076169708991852	2.0	3.0	3.0	3.0	3.0	3.0	NA	NA	NA	NA	NA	NA	-1.2785561158065377	0.27913686499798634	0.3838131893722312
GO:0004372	glycine hydroxymethyltransferase activity	molecular_function	20.610000669186853	22.571999769453114	20.46439325484175	22.31219771613512	20.03154878869168	22.548660904844393	21.12229765319752	22.811818902179407	3.0	3.0	1.0	2.0	3.0	3.0	NA	NA	NA	NA	NA	NA	-1.9619991002662616	0.004414484482178232	0.025178911490942507
GO:0004422	hypoxanthine phosphoribosyltransferase activity	molecular_function	20.09213558784318	22.56947072712725	18.531723294462964	22.348184222950373	20.697654664153337	22.638520795858184	20.280434884244308	22.697993915799266	1.0	3.0	4.0	4.0	4.0	4.0	NA	NA	NA	NA	NA	NA	-2.477335139284069	0.015427897075696174	0.0462006141761293
GO:0004494	methylmalonyl-CoA mutase activity	molecular_function	24.42387690362505	25.287500152649933	21.179605642280254	24.912149363499843	25.20892840482342	24.47748693189229	24.65200712426785	26.01755785009977	2.0	3.0	3.0	3.0	3.0	3.0	NA	NA	NA	NA	NA	NA	-0.863623249024883	0.33888489332404315	0.4441555197608736
GO:0004518	nuclease activity	molecular_function	26.49235880962823	26.984525461999887	27.064182486754145	26.340108281310282	26.793943375853246	28.113237766514157	24.661520957479528	24.45848059123886	18.0	29.0	23.0	24.0	19.0	29.0	3.0	4.0	4.0	4.0	3.0	4.0	-0.49216665237165813	0.9247574900047906	0.9384688860674646
GO:0004519	endonuclease activity	molecular_function	25.464224066317605	25.832710385466786	26.047435338548684	24.990010489268087	25.776042759386645	27.03936529386624	23.523846236218358	22.93712456486093	3.0	7.0	6.0	6.0	4.0	7.0	2.0	3.0	3.0	3.0	2.0	3.0	-0.36848631914918073	0.933485437438959	0.9419699049909352
GO:0004527	exonuclease activity	molecular_function	20.71884967298473	23.485150873491484	20.45009000378146	23.891693265111304	20.48629428053197	23.65443142219869	21.118120499317545	22.622646972039515	10.0	14.0	11.0	12.0	10.0	14.0	4.0	4.0	4.0	4.0	4.0	4.0	-2.766301200506753	0.0037287393799718066	0.0246048802414875
GO:0004540	ribonuclease activity	molecular_function	25.46599792783413	25.858443792126433	26.05132028387353	25.08638312484757	25.772135231654747	27.05059589188373	23.540409534054213	22.90931358571289	5.0	7.0	5.0	5.0	5.0	7.0	3.0	3.0	3.0	3.0	3.0	3.0	-0.3924458642923021	0.9447699744917291	0.9480605148049247
GO:0004614	phosphoglucomutase activity	molecular_function	22.199897370642905	24.801804585474645	21.58670046750187	24.630363539342145	22.85472405756227	24.948488921037704	21.82624632790401	24.809032188983426	5.0	8.0	8.0	9.0	7.0	8.0	NA	NA	NA	NA	NA	NA	-2.6019072148317406	0.002481100811535084	0.022983633806058907
GO:0004616	phosphogluconate dehydrogenase (decarboxylating) activity	molecular_function	21.15837382276344	23.590937733922235	20.30985826586472	23.416488979792927	21.757440081068488	23.561071095037804	21.053534106914228	23.77284571801016	1.0	3.0	4.0	4.0	3.0	3.0	NA	NA	NA	NA	NA	NA	-2.4325639111587947	0.004111535059392484	0.025178911490942507
GO:0004634	phosphopyruvate hydratase activity	molecular_function	25.168691917755066	26.45831050878883	24.75548259720653	26.543321455294556	24.678264477891393	27.07447707384193	25.789029486400896	25.159663649000212	6.0	5.0	6.0	6.0	6.0	5.0	NA	NA	NA	NA	NA	NA	-1.289618591033765	0.153461468882962	0.2393221894478597
GO:0004654	polyribonucleotide nucleotidyltransferase activity	molecular_function	21.024511771734648	20.21338914621995	21.817768509285887	18.823464852989517	17.43086589345306	19.75792741853745	21.26840583015869	21.131117576317312	5.0	3.0	3.0	4.0	3.0	2.0	NA	NA	NA	NA	NA	NA	0.8111226255146988	0.869712920527647	0.8973922262060814
GO:0004743	pyruvate kinase activity	molecular_function	24.126143200290862	26.903108894001303	23.000146287668628	26.312389922923764	24.471366146348572	27.645869986407305	24.472637692291798	26.30934672613717	3.0	5.0	5.0	5.0	5.0	4.0	NA	NA	NA	NA	NA	NA	-2.7769656937104408	0.0138206589511497	0.04463116827885148
GO:0004812	aminoacyl-tRNA ligase activity	molecular_function	25.449642952318282	25.233868051031326	25.44008894043393	24.945282061543146	23.8649869212256	25.480666572707754	26.192249670892487	25.22623744806517	22.0	30.0	36.0	38.0	33.0	30.0	14.0	17.0	17.0	17.0	17.0	17.0	0.21577490128695587	0.9449823962503632	0.9480605148049247
GO:0004815	aspartate-tRNA ligase activity	molecular_function	19.979367246157352	22.620078453011068	19.47457725781092	22.825169630489906	20.638516068496926	22.723671827734695	19.497572767941012	22.248235195020186	4.0	6.0	6.0	5.0	5.0	4.0	NA	NA	NA	NA	NA	NA	-2.640711206853716	0.0029815598614047474	0.022983633806058907
GO:0004832	valine-tRNA ligase activity	molecular_function	19.619867747954004	21.529300039300466	19.386978450479287	21.52996220263029	19.57869322162448	21.88142267209331	19.855236468113702	21.061574409622022	2.0	3.0	3.0	4.0	3.0	3.0	NA	NA	NA	NA	NA	NA	-1.9094322913464623	0.0023315085610888116	0.022983633806058907
GO:0005198	structural molecule activity	molecular_function	28.65122035871874	29.111686451329607	28.65046301142953	28.73755860835345	28.197203946182803	29.199432851097907	28.996636168498693	29.332907054249862	104.0	99.0	106.0	115.0	110.0	96.0	1.0	1.0	2.0	2.0	2.0	2.0	-0.46046609261086857	0.18067632373064957	0.2707946847155234
GO:0005215	transporter activity	molecular_function	28.753920748450952	29.398687203034	29.313408657071317	29.583885025464426	27.468492931657966	29.31551493009109	28.912264055130162	29.27689844837897	170.0	205.0	211.0	250.0	207.0	230.0	2.0	2.0	3.0	3.0	3.0	2.0	-0.6447664545830492	0.2192470814762945	0.3170333384727638
GO:0005342	organic acid transmembrane transporter activity	molecular_function	25.26470831917291	21.950778667993088	25.93443148746384	20.535458112953464	22.28412737240396	22.81993528148816	25.623710339753128	21.62610465904955	4.0	1.0	4.0	3.0	4.0	4.0	2.0	1.0	2.0	2.0	2.0	2.0	3.313929651179823	0.09252714607814555	0.15920872062608282
GO:0005488	binding	molecular_function	32.98953154229115	33.807702972360374	32.90832547834527	33.53333104801542	32.97354848985069	33.98372941999843	33.081401103666146	33.86902556909246	3114.0	3606.0	4027.0	4446.0	3995.0	3598.0	17.0	17.0	18.0	18.0	18.0	18.0	-0.8181714300692278	0.0049966057785822485	0.026533699651781595
GO:0005515	protein binding	molecular_function	26.62372305252113	27.66721521211937	25.970990341790102	27.617568846331977	27.06872109931498	28.04705722779371	26.627488456435906	27.218366998488733	26.0	25.0	31.0	33.0	27.0	26.0	6.0	5.0	6.0	6.0	6.0	5.0	-1.043492159598241	0.054737569267058826	0.10504156594550854
GO:0005524	ATP binding	molecular_function	27.727590871573714	28.524150847254802	27.739877810180925	28.300371129659506	27.850455724178076	28.891944287893605	27.57967277858813	28.295281294605587	105.0	130.0	144.0	162.0	143.0	131.0	NA	NA	NA	NA	NA	NA	-0.7965599756810882	0.022245543983925913	0.05622675604163417
GO:0005525	GTP binding	molecular_function	26.67719337384419	27.280487839280426	26.408726119187964	26.919708734524807	26.82154311423431	27.261310749584588	26.767459470462327	27.584368714742013	36.0	42.0	46.0	49.0	46.0	41.0	NA	NA	NA	NA	NA	NA	-0.6032944654362353	0.0636449818209256	0.11633622789819041
GO:0005575	cellular_component	cellular_component	32.2670671545578	32.90508122039784	32.166337488273136	32.619477235088226	32.03457239931745	33.075250584211304	32.54953901440607	32.981519033371356	1462.0	1476.0	1648.0	1794.0	1639.0	1455.0	12.0	12.0	12.0	12.0	12.0	12.0	-0.6380140658400393	0.03658422641475899	0.07797883554149321
GO:0005576	extracellular region	cellular_component	25.325515825173067	26.689932228574772	24.92592301451485	26.68724999344305	24.79394405351161	27.326072466594834	25.957902391793308	25.530510197347823	11.0	11.0	9.0	12.0	11.0	8.0	NA	NA	NA	NA	NA	NA	-1.3644164034017052	0.11494720116766449	0.19034267720236914
GO:0005622	intracellular	cellular_component	26.42167122799821	26.609354025482048	26.31861321873241	25.908546306342732	26.473161629925205	26.495601763609532	26.467963408667835	27.155906348423706	24.0	22.0	24.0	26.0	28.0	22.0	NA	NA	NA	NA	NA	NA	-0.18768279748383776	0.7968362157142415	0.8450244017706462
GO:0005623	cell	cellular_component	24.205026393874398	25.36555678829308	23.288282462437426	25.327451442879767	25.19108835605401	25.218258360612268	23.17448381060433	25.533078036651244	8.0	12.0	14.0	16.0	12.0	13.0	NA	NA	NA	NA	NA	NA	-1.1605303944186822	0.08931408058601052	0.15411057042292012
GO:0005694	chromosome	cellular_component	19.478865817991323	22.001511480696244	19.540149037907085	21.844696629582238	19.560193945766773	21.471667529090467	19.324640912169865	22.497582188814764	3.0	4.0	5.0	4.0	4.0	4.0	NA	NA	NA	NA	NA	NA	-2.522645662704921	0.0013447663669905782	0.022983633806058907
GO:0005737	cytoplasm	cellular_component	29.00004848548409	29.710368497067947	28.951289314551946	29.407738474366145	28.8846740770058	30.02975330365263	29.150724909633173	29.6232921380938	173.0	192.0	223.0	241.0	213.0	186.0	NA	NA	NA	NA	NA	NA	-0.7103200115838568	0.025528686769465056	0.06265207589637639
GO:0005739	mitochondrion	cellular_component	25.517237277360053	25.200789008320648	24.06036691530477	25.097323747192153	25.66697458304481	25.36316901736346	26.127323128641248	25.126900133704385	4.0	5.0	5.0	5.0	4.0	4.0	NA	NA	NA	NA	NA	NA	0.31644826903940526	0.8947337548260018	0.9179588725386107
GO:0005829	cytosol	cellular_component	26.909870204837734	27.11148133839573	26.930672958608564	26.43763296725864	26.76858343332837	27.57436157568869	27.01925228170899	27.10407124168855	30.0	32.0	40.0	45.0	40.0	35.0	NA	NA	NA	NA	NA	NA	-0.20161113355799642	0.7148723095484202	0.7948760698227921
GO:0005887	integral component of plasma membrane	cellular_component	22.644741034649464	23.659816511757693	22.8439707863678	23.306564379814034	22.331344891485877	23.569479854086627	22.71123619689348	24.01356773754043	4.0	3.0	5.0	4.0	4.0	3.0	NA	NA	NA	NA	NA	NA	-1.0150754771082298	0.01766520952092642	0.04924177923984063
GO:0005975	carbohydrate metabolic process	biological_process	28.93854272647077	30.00331609873	28.82537594862155	29.748317858337003	28.589033510581004	30.250075210683608	29.306576341064762	29.967490210586906	139.0	190.0	208.0	205.0	196.0	189.0	6.0	6.0	6.0	6.0	6.0	6.0	-1.0647733722592285	0.013466301776852922	0.04412362709862447
GO:0005976	polysaccharide metabolic process	biological_process	24.558514579952593	25.53662136385293	23.619046047969146	25.26720084009166	24.35696387370177	25.959182125839163	25.244642798004843	25.2678790256034	15.0	35.0	38.0	32.0	36.0	35.0	4.0	4.0	4.0	4.0	4.0	4.0	-0.978106783900337	0.10546329073466097	0.17846471270155118
GO:0005977	glycogen metabolic process	biological_process	21.767337131211534	22.52233256424882	20.98377306508239	21.814105193351043	21.19101630680964	23.202832581712	22.573370904659058	22.173525539597783	2.0	4.0	5.0	4.0	5.0	4.0	2.0	2.0	2.0	2.0	2.0	2.0	-0.754995433037287	0.27843875026102244	0.38370977664606226
GO:0005978	glycogen biosynthetic process	biological_process	20.75268051127287	21.619208180921984	19.85909975246711	21.470873800097515	20.511542092427565	21.925009441830234	21.44479174893149	21.404304123616093	1.0	3.0	3.0	2.0	3.0	3.0	NA	NA	NA	NA	NA	NA	-0.8665276696491127	0.11128757554934009	0.18578088492789566
GO:0005996	monosaccharide metabolic process	biological_process	27.00789956907171	28.43300109004167	26.33180492578543	28.025257930713426	27.07834491223233	28.562497360596627	27.41291389689529	28.63750077434573	38.0	36.0	41.0	39.0	36.0	33.0	3.0	4.0	4.0	4.0	2.0	4.0	-1.4251015209699602	0.01707678493993341	0.049155605247658794
GO:0006015	5-phosphoribose 1-diphosphate biosynthetic process	biological_process	23.097899334410982	22.310545016548584	23.72171927910503	21.468821356305725	22.36043711514679	23.45025539751694	22.87906029830853	20.24354715716529	4.0	2.0	6.0	6.0	6.0	3.0	NA	NA	NA	NA	NA	NA	0.7873543178623983	0.2802505198939747	0.38448623664741294
GO:0006022	aminoglycan metabolic process	biological_process	21.524015064309143	21.110750483032838	21.723980425811444	20.714041461581388	21.60198983805934	21.740788563952517	21.194481924964272	20.581271990917273	6.0	3.0	6.0	6.0	3.0	3.0	3.0	2.0	3.0	3.0	2.0	2.0	0.41326458127630517	0.2835902850583149	0.3864858752122168
GO:0006066	alcohol metabolic process	biological_process	26.100228040505925	26.325426586049065	26.54779333897708	25.685536830454694	26.031543089896946	27.350116639188176	25.54967086198547	24.698226137993718	18.0	10.0	19.0	18.0	19.0	10.0	5.0	5.0	5.0	5.0	5.0	5.0	-0.22519854554314023	0.8810008233739637	0.9060041856400027
GO:0006073	cellular glucan metabolic process	biological_process	22.34743061761468	23.14031502701617	21.528363158072253	22.65267278168876	21.89091683652782	23.700999009004175	23.11673408586054	22.83958586553864	3.0	7.0	8.0	6.0	8.0	7.0	2.0	2.0	2.0	2.0	2.0	2.0	-0.7928844094014913	0.20076693000769608	0.2987256736346396
GO:0006081	cellular aldehyde metabolic process	biological_process	23.94551227886185	24.769008618752064	23.41425092179469	24.90010295273425	24.47694154028104	24.541249204432017	23.73242661371252	24.840655722727565	6.0	10.0	13.0	12.0	11.0	8.0	1.0	3.0	3.0	3.0	3.0	1.0	-0.8234963398902124	0.05675156085605357	0.10763364758773812
GO:0006082	organic acid metabolic process	biological_process	31.778015738904962	32.05989196221839	31.90886093642173	31.70258879015853	31.25025267930096	32.50937616223738	32.05473348755923	31.83190531479061	755.0	730.0	1006.0	1061.0	872.0	697.0	3.0	3.0	3.0	3.0	3.0	3.0	-0.2818762233134251	0.47567910793376844	0.5779454250240658
GO:0006085	acetyl-CoA biosynthetic process	biological_process	23.938406161552248	24.07780648485627	24.92498703790589	22.738631684323245	22.112215349022428	24.162382794533	23.49717999398253	24.704831504581147	6.0	4.0	5.0	5.0	6.0	5.0	NA	NA	NA	NA	NA	NA	-0.13940032330402374	0.7394044702062734	0.8118951045402218
GO:0006090	pyruvate metabolic process	biological_process	27.18916745875369	28.97862256306993	26.592643475985952	28.854592066269483	27.035854426416716	29.25417943483665	27.71470651774969	28.78088740262465	28.0	32.0	34.0	38.0	36.0	32.0	2.0	2.0	2.0	2.0	2.0	2.0	-1.7894551043162394	0.006670239022583552	0.029074260679022697
GO:0006091	generation of precursor metabolites and energy	biological_process	27.697412833684023	29.149656985613127	27.506348024904646	29.021380036853103	27.248253234158877	29.331759213474694	28.174128008882658	29.07647715382579	33.0	36.0	42.0	44.0	42.0	35.0	3.0	3.0	3.0	3.0	3.0	3.0	-1.4522441519291043	0.006797349632005158	0.02907755120357762
GO:0006094	gluconeogenesis	biological_process	23.2694411361032	24.201942965641752	23.429784865400528	23.68843539610005	22.56360692886372	23.97720582099325	23.613541001374784	24.73174577327425	9.0	7.0	9.0	8.0	9.0	6.0	NA	NA	NA	NA	NA	NA	-0.9325018295385519	0.10699328774047204	0.18007613455773439
